BettingSite, Event Tab, League, Event, Market, Stats
Betano, Futures, CFL - Futures, CFL Specials, Winning Division, East Division +100
Betano, Futures, CFL - Futures, CFL Grey Cup 2023, Winner, Winnipeg Blue Bombers +250
Betano, Futures, CFL - Futures, CFL Grey Cup 2023, Winner, British Columbia Lions +350
Betano, Futures, CFL - Futures, CFL Grey Cup 2023, Winner, Montreal Alouettes +1100
Betano, Futures, CFL - Futures, CFL Grey Cup 2023, Winner, Hamilton Tiger-Cats +1400
Betano, Futures, CFL - Futures, CFL Grey Cup 2023, Winner, Ottawa Redblacks +1400
Betano, Futures, CFL - Futures, CFL Specials, Winning Division, West Division -133
Betano, Futures, CFL - Futures, CFL Grey Cup 2023, Winner, Calgary Stampeders +1700
Betano, Futures, CFL - Futures, CFL Grey Cup 2023, Winner, Toronto Argonauts +200
Betano, Futures, CFL - Futures, CFL Grey Cup 2023, Winner, Saskatchewan Roughriders +1700
Betano, Futures, CFL - Futures, CFL Grey Cup 2023, Winner, Edmonton Elks +12400
