BettingSite, Event Tab, League, Event, Market, Stats
Betano, Halftime markets, CFL, British Columbia Lions @ Winnipeg Blue Bombers, 1st Half - Winner, British Columbia Lions +150 Winnipeg Blue Bombers -200
Betano, Halftime markets, CFL, British Columbia Lions @ Winnipeg Blue Bombers, 1st Half - Spread, British Columbia Lions+9.5 -303 Winnipeg Blue Bombers-9.5 +215 British Columbia Lions+6.5 -192 Winnipeg Blue Bombers-6.5 +145 British Columbia Lions+3.5 -122 Winnipeg Blue Bombers-3.5 -108 British Columbia Lions+0.5 +130 Winnipeg Blue Bombers-0.5 -175 British Columbia Lions-2.5 +210 Winnipeg Blue Bombers+2.5 -294
Betano, Halftime markets, CFL, Toronto Argonauts @ Calgary Stampeders, 1st Half - Winner, Toronto Argonauts -270 Calgary Stampeders +195
Betano, Halftime markets, CFL, British Columbia Lions @ Winnipeg Blue Bombers, 1st Half - Points, Over16.5 -323 Under16.5 +230 Over19.5 -189 Under19.5 +140 Over22.5 -118 Under22.5 -114 Over25.5 +140 Under25.5 -189 Over28.5 +215 Under28.5 -303
Betano, Halftime markets, CFL, British Columbia Lions @ Winnipeg Blue Bombers, 2nd Half - Spread, British Columbia Lions+7.5 -312 Winnipeg Blue Bombers-7.5 +220 British Columbia Lions+4.5 -182 Winnipeg Blue Bombers-4.5 +135 British Columbia Lions+1.5 -108 Winnipeg Blue Bombers-1.5 -122 British Columbia Lions-1.5 +147 Winnipeg Blue Bombers+1.5 -200 British Columbia Lions-4.5 +245 Winnipeg Blue Bombers+4.5 -357
Betano, Halftime markets, CFL, Toronto Argonauts @ Calgary Stampeders, 2nd Half - Winner, Toronto Argonauts -182 Calgary Stampeders +137
Betano, Halftime markets, CFL, Toronto Argonauts @ Calgary Stampeders, 1st Half - Points, Over19.5 -303 Under19.5 +215 Over22.5 -189 Under22.5 +140 Over25.5 -115 Under25.5 -115 Over28.5 +135 Under28.5 -182 Over31.5 +205 Under31.5 -294
Betano, Halftime markets, CFL, Toronto Argonauts @ Calgary Stampeders, 1st Half - Spread, Toronto Argonauts+0.5 -286 Calgary Stampeders-0.5 +205 Toronto Argonauts-2.5 -175 Calgary Stampeders+2.5 +132 Toronto Argonauts-5.5 -108 Calgary Stampeders+5.5 -122 Toronto Argonauts-8.5 +137 Calgary Stampeders+8.5 -182 Toronto Argonauts-11.5 +210 Calgary Stampeders+11.5 -294
Betano, Halftime markets, CFL, Toronto Argonauts @ Calgary Stampeders, 2nd Half - Spread, Toronto Argonauts+3.5 -323 Calgary Stampeders-3.5 +225 Toronto Argonauts+0.5 -192 Calgary Stampeders-0.5 +145 Toronto Argonauts-2.5 -122 Calgary Stampeders+2.5 -108 Toronto Argonauts-5.5 +130 Calgary Stampeders+5.5 -175 Toronto Argonauts-8.5 +192 Calgary Stampeders+8.5 -270
Betano, Halftime markets, CFL, British Columbia Lions @ Winnipeg Blue Bombers, 2nd Half - Winner, British Columbia Lions +120 Winnipeg Blue Bombers -161
Betano, Halftime markets, CFL, Montreal Alouettes @ Hamilton Tiger-Cats, 1st Half - Points, Over16.5 -312 Under16.5 +220 Over19.5 -182 Under19.5 +137 Over22.5 -114 Under22.5 -118 Over25.5 +142 Under25.5 -192 Over28.5 +220 Under28.5 -312
Betano, Halftime markets, CFL, Montreal Alouettes @ Hamilton Tiger-Cats, 1st Half - Spread, Montreal Alouettes+5.5 -303 Hamilton Tiger-Cats-5.5 +215 Montreal Alouettes+2.5 -175 Hamilton Tiger-Cats-2.5 +130 Montreal Alouettes-0.5 -105 Hamilton Tiger-Cats+0.5 -125 Montreal Alouettes-3.5 +155 Hamilton Tiger-Cats+3.5 -213 Montreal Alouettes-6.5 +240 Hamilton Tiger-Cats+6.5 -345
Betano, Halftime markets, CFL, Montreal Alouettes @ Hamilton Tiger-Cats, 2nd Half - Spread, Montreal Alouettes+5.5 -303 Hamilton Tiger-Cats-5.5 +210 Montreal Alouettes+2.5 -175 Hamilton Tiger-Cats-2.5 +132 Montreal Alouettes-0.5 -105 Hamilton Tiger-Cats+0.5 -125 Montreal Alouettes-3.5 +150 Hamilton Tiger-Cats+3.5 -200 Montreal Alouettes-6.5 +240 Hamilton Tiger-Cats+6.5 -345
Betano, Halftime markets, CFL, Ottawa Redblacks @ Saskatchewan Roughriders, 1st Half - Points, Over15.5 -345 Under15.5 +235 Over18.5 -189 Under18.5 +140 Over21.5 -114 Under21.5 -115 Over24.5 +140 Under24.5 -189 Over27.5 +215 Under27.5 -303
