BettingSite, Event Tab, League, Event, Market, Stats
Betano, Over / Under, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Winnipeg Blue Bombers Points (incl. OT), Over24.5 -114 Under24.5 -118
Betano, Over / Under, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Points, Over32.5 -417 Under32.5 +285 Over33.5 -370 Under33.5 +255 Over34.5 -333 Under34.5 +235 Over35.5 -294 Under35.5 +210 Over36.5 -270 Under36.5 +192 Over37.5 -238 Under37.5 +172 Over38.5 -213 Under38.5 +157 Over39.5 -192 Under39.5 +142 Over40.5 -175 Under40.5 +130 Over41.5 -154 Under41.5 +115 Over42.5 -143 Under42.5 +107 Over43.5 -128 Under43.5 -102 Over44.5 -118 Under44.5 -114 Over45.5 -105 Under45.5 -125 Over46.5 +105 Under46.5 -139 Over47.5 +115 Under47.5 -154 Over48.5 +125 Under48.5 -167 Over49.5 +137 Under49.5 -182 Over50.5 +147 Under50.5 -200 Over51.5 +165 Under51.5 -222 Over52.5 +180 Under52.5 -250 Over53.5 +195 Under53.5 -270 Over54.5 +210 Under54.5 -294 Over55.5 +230 Under55.5 -333 Over56.5 +250 Under56.5 -370
Betano, Over / Under, CFL, British Columbia Lions @ Winnipeg Blue Bombers, 1st Half - Points, Over16.5 -323 Under16.5 +230 Over19.5 -189 Under19.5 +140 Over22.5 -118 Under22.5 -114 Over25.5 +140 Under25.5 -189 Over28.5 +215 Under28.5 -303
Betano, Over / Under, CFL, Toronto Argonauts @ Calgary Stampeders, Points, Over39.5 -417 Under39.5 +275 Over40.5 -370 Under40.5 +250 Over41.5 -323 Under41.5 +225 Over42.5 -294 Under42.5 +205 Over43.5 -256 Under43.5 +185 Over44.5 -227 Under44.5 +167 Over45.5 -200 Under45.5 +150 Over46.5 -189 Under46.5 +140 Over47.5 -167 Under47.5 +125 Over48.5 -154 Under48.5 +115 Over49.5 -133 Under49.5 +102 Over50.5 -122 Under50.5 -108 Over51.5 -110 Under51.5 -120 Over52.5 +100 Under52.5 -133 Over53.5 +107 Under53.5 -143 Over54.5 +120 Under54.5 -161 Over55.5 +135 Under55.5 -182 Over56.5 +147 Under56.5 -200 Over57.5 +162 Under57.5 -222 Over58.5 +180 Under58.5 -250 Over59.5 +195 Under59.5 -270 Over60.5 +215 Under60.5 -303 Over61.5 +235 Under61.5 -345 Over62.5 +255 Under62.5 -370 Over63.5 +285 Under63.5 -417
Betano, Over / Under, CFL, British Columbia Lions @ Winnipeg Blue Bombers, British Columbia Lions Points (incl. OT), Over19.5 -110 Under19.5 -120
Betano, Over / Under, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Quarter 1 Points, Over2.5 -769 Under2.5 +440 Over5.5 -286 Under5.5 +200 Over8.5 -114 Under8.5 -118 Over11.5 +177 Under11.5 -238 Over14.5 +305 Under14.5 -476
Betano, Over / Under, CFL, Toronto Argonauts @ Calgary Stampeders, Toronto Argonauts Points (incl. OT), Over29.5 -118 Under29.5 -111
Betano, Over / Under, CFL, Toronto Argonauts @ Calgary Stampeders, Calgary Stampeders Points (incl. OT), Over20.5 -115 Under20.5 -115
Betano, Over / Under, CFL, Montreal Alouettes @ Hamilton Tiger-Cats, Points, Over33.5 -435 Under33.5 +285 Over34.5 -385 Under34.5 +260 Over35.5 -333 Under35.5 +235 Over36.5 -303 Under36.5 +215 Over37.5 -263 Under37.5 +192 Over38.5 -238 Under38.5 +175 Over39.5 -213 Under39.5 +157 Over40.5 -200 Under40.5 +145 Over41.5 -175 Under41.5 +130 Over42.5 -161 Under42.5 +120 Over43.5 -143 Under43.5 +107 Over44.5 -128 Under44.5 -102 Over45.5 -118 Under45.5 -114 Over46.5 -108 Under46.5 -122 Over47.5 +102 Under47.5 -133 Over48.5 +112 Under48.5 -143 Over49.5 +122 Under49.5 -161 Over50.5 +135 Under50.5 -182 Over51.5 +147 Under51.5 -200 Over52.5 +160 Under52.5 -222 Over53.5 +175 Under53.5 -238 Over54.5 +190 Under54.5 -263 Over55.5 +210 Under55.5 -294 Over56.5 +225 Under56.5 -323 Over57.5 +250 Under57.5 -357
Betano, Over / Under, CFL, Montreal Alouettes @ Hamilton Tiger-Cats, Hamilton Tiger-Cats Points (incl. OT), Over22.5 -114 Under22.5 -118
Betano, Over / Under, CFL, Toronto Argonauts @ Calgary Stampeders, 1st Half - Points, Over19.5 -303 Under19.5 +215 Over22.5 -189 Under22.5 +140 Over25.5 -115 Under25.5 -115 Over28.5 +135 Under28.5 -182 Over31.5 +205 Under31.5 -294
Betano, Over / Under, CFL, Montreal Alouettes @ Hamilton Tiger-Cats, 1st Half - Points, Over16.5 -312 Under16.5 +220 Over19.5 -182 Under19.5 +137 Over22.5 -114 Under22.5 -118 Over25.5 +142 Under25.5 -192 Over28.5 +220 Under28.5 -312
Betano, Over / Under, CFL, Ottawa Redblacks @ Saskatchewan Roughriders, Saskatchewan Roughriders Points (incl. OT), Over21.5 -110 Under21.5 -122
Betano, Over / Under, CFL, Toronto Argonauts @ Calgary Stampeders, Quarter 1 Points, Over3.5 -476 Under3.5 +310 Over6.5 -303 Under6.5 +215 Over9.5 -133 Under9.5 +100 Over12.5 +145 Under12.5 -192 Over15.5 +265 Under15.5 -385
Betano, Over / Under, CFL, Ottawa Redblacks @ Saskatchewan Roughriders, Points, Over32.5 -417 Under32.5 +280 Over33.5 -357 Under33.5 +250 Over34.5 -323 Under34.5 +230 Over35.5 -286 Under35.5 +205 Over36.5 -263 Under36.5 +187 Over37.5 -227 Under37.5 +167 Over38.5 -213 Under38.5 +155 Over39.5 -189 Under39.5 +140 Over40.5 -167 Under40.5 +127 Over41.5 -154 Under41.5 +115 Over42.5 -139 Under42.5 +105 Over43.5 -125 Under43.5 -105 Over44.5 -115 Under44.5 -115 Over45.5 -105 Under45.5 -128 Over46.5 +105 Under46.5 -139 Over47.5 +115 Under47.5 -154 Over48.5 +125 Under48.5 -167 Over49.5 +137 Under49.5 -182 Over50.5 +150 Under50.5 -200 Over51.5 +165 Under51.5 -227 Over52.5 +180 Under52.5 -250 Over53.5 +195 Under53.5 -270 Over54.5 +210 Under54.5 -303 Over55.5 +235 Under55.5 -333 Over56.5 +250 Under56.5 -370
Betano, Over / Under, CFL, Montreal Alouettes @ Hamilton Tiger-Cats, Montreal Alouettes Points (incl. OT), Over22.5 -118 Under22.5 -114
Betano, Over / Under, CFL, Ottawa Redblacks @ Saskatchewan Roughriders, Ottawa Redblacks Points (incl. OT), Over22.5 -111 Under22.5 -120
Betano, Over / Under, CFL, Ottawa Redblacks @ Saskatchewan Roughriders, Quarter 1 Points, Over1.5 -769 Under1.5 +440 Over4.5 -278 Under4.5 +200 Over7.5 -120 Under7.5 -110 Over10.5 +167 Under10.5 -227 Over13.5 +245 Under13.5 -357
Betano, Over / Under, CFL, Ottawa Redblacks @ Saskatchewan Roughriders, 1st Half - Points, Over15.5 -345 Under15.5 +235 Over18.5 -189 Under18.5 +140 Over21.5 -114 Under21.5 -115 Over24.5 +140 Under24.5 -189 Over27.5 +215 Under27.5 -303
Betano, Over / Under, CFL, Montreal Alouettes @ Hamilton Tiger-Cats, Quarter 1 Points, Over2.5 -769 Under2.5 +430 Over5.5 -278 Under5.5 +200 Over8.5 -114 Under8.5 -118 Over11.5 +180 Under11.5 -250 Over14.5 +310 Under14.5 -476
