BettingSite, Event Tab, League, Event, Market, Stats
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Game to go to Overtime, No -3333
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Game to go to Overtime, Yes +900
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Halftime/Full Time, British Columbia Lions/British Columbia Lions +295
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Halftime/Full Time, British Columbia Lions/Winnipeg Blue Bombers +600
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Halftime/Full Time, British Columbia Lions/Tie +3100
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Halftime/Full Time, Tie/Winnipeg Blue Bombers +2300
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Halftime/Full Time, Tie/British Columbia Lions +3100
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Halftime/Full Time, Winnipeg Blue Bombers/British Columbia Lions +650
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Halftime/Full Time, Winnipeg Blue Bombers/Tie +3900
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Halftime/Full Time, Winnipeg Blue Bombers/Winnipeg Blue Bombers -114
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Points - Odd/Even (incl. OT), Even +105
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Odd/Even Total Points, Odd -125
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Halftime/Full Time, Tie/Tie +8900
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Points - Odd/Even (incl. OT), Odd -139
Betano, Props, CFL, Toronto Argonauts @ Calgary Stampeders, Game to go to Overtime, No -4000
Betano, Props, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Odd/Even Total Points, Even -108
Betano, Props, CFL, Toronto Argonauts @ Calgary Stampeders, Halftime/Full Time, Toronto Argonauts/Tie +4400
Betano, Props, CFL, Toronto Argonauts @ Calgary Stampeders, Halftime/Full Time, Toronto Argonauts/Toronto Argonauts -161
Betano, Props, CFL, Toronto Argonauts @ Calgary Stampeders, Halftime/Full Time, Toronto Argonauts/Calgary Stampeders +750
