BettingSite, Event Tab, League, Event, Market, Stats
Betano, Spread, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Quarter 1 Spread, British Columbia Lions+6.5 -345 Winnipeg Blue Bombers-6.5 +240 British Columbia Lions+3.5 -222 Winnipeg Blue Bombers-3.5 +165 British Columbia Lions+0.5 -120 Winnipeg Blue Bombers-0.5 -110 British Columbia Lions-2.5 +182 Winnipeg Blue Bombers+2.5 -250 British Columbia Lions-5.5 +335 Winnipeg Blue Bombers+5.5 -526
Betano, Spread, CFL, British Columbia Lions @ Winnipeg Blue Bombers, Spread, British Columbia Lions+16.5 -400 Winnipeg Blue Bombers-16.5 +265 British Columbia Lions+15.5 -357 Winnipeg Blue Bombers-15.5 +250 British Columbia Lions+14.5 -323 Winnipeg Blue Bombers-14.5 +225 British Columbia Lions+13.5 -286 Winnipeg Blue Bombers-13.5 +205 British Columbia Lions+12.5 -256 Winnipeg Blue Bombers-12.5 +185 British Columbia Lions+11.5 -227 Winnipeg Blue Bombers-11.5 +167 British Columbia Lions+10.5 -213 Winnipeg Blue Bombers-10.5 +157 British Columbia Lions+9.5 -182 Winnipeg Blue Bombers-9.5 +137 British Columbia Lions+8.5 -175 Winnipeg Blue Bombers-8.5 +130 British Columbia Lions+7.5 -154 Winnipeg Blue Bombers-7.5 +115 British Columbia Lions+6.5 -133 Winnipeg Blue Bombers-6.5 +102 British Columbia Lions+5.5 -122 Winnipeg Blue Bombers-5.5 -108 British Columbia Lions+4.5 -111 Winnipeg Blue Bombers-4.5 -118 British Columbia Lions+3.5 +100 Winnipeg Blue Bombers-3.5 -133 British Columbia Lions+2.5 +127 Winnipeg Blue Bombers-2.5 -167 British Columbia Lions+1.5 +140 Winnipeg Blue Bombers-1.5 -189 British Columbia Lions+0.5 +155 Winnipeg Blue Bombers-0.5 -213 British Columbia Lions-0.5 +155 Winnipeg Blue Bombers+0.5 -213 British Columbia Lions-1.5 +167 Winnipeg Blue Bombers+1.5 -227 British Columbia Lions-2.5 +187 Winnipeg Blue Bombers+2.5 -256 British Columbia Lions-3.5 +230 Winnipeg Blue Bombers+3.5 -333 British Columbia Lions-4.5 +255 Winnipeg Blue Bombers+4.5 -370 British Columbia Lions-5.5 +280 Winnipeg Blue Bombers+5.5 -417 British Columbia Lions-6.5 +300 Winnipeg Blue Bombers+6.5 -455 British Columbia Lions-7.5 +345 Winnipeg Blue Bombers+7.5 -556
Betano, Spread, CFL, Toronto Argonauts @ Calgary Stampeders, Spread, Toronto Argonauts+3.5 -526 Calgary Stampeders-3.5 +330 Toronto Argonauts+2.5 -385 Calgary Stampeders-2.5 +265 Toronto Argonauts+1.5 -345 Calgary Stampeders-1.5 +240 Toronto Argonauts+0.5 -303 Calgary Stampeders-0.5 +215 Toronto Argonauts-0.5 -303 Calgary Stampeders+0.5 +215 Toronto Argonauts-1.5 -270 Calgary Stampeders+1.5 +195 Toronto Argonauts-2.5 -250 Calgary Stampeders+2.5 +180 Toronto Argonauts-3.5 -189 Calgary Stampeders+3.5 +140 Toronto Argonauts-4.5 -167 Calgary Stampeders+4.5 +125 Toronto Argonauts-5.5 -154 Calgary Stampeders+5.5 +115 Toronto Argonauts-6.5 -139 Calgary Stampeders+6.5 +105 Toronto Argonauts-7.5 -122 Calgary Stampeders+7.5 -110 Toronto Argonauts-8.5 -110 Calgary Stampeders+8.5 -120 Toronto Argonauts-9.5 -102 Calgary Stampeders+9.5 -128 Toronto Argonauts-10.5 +115 Calgary Stampeders+10.5 -154 Toronto Argonauts-11.5 +122 Calgary Stampeders+11.5 -161 Toronto Argonauts-12.5 +135 Calgary Stampeders+12.5 -182 Toronto Argonauts-13.5 +150 Calgary Stampeders+13.5 -200 Toronto Argonauts-14.5 +172 Calgary Stampeders+14.5 -238 Toronto Argonauts-15.5 +190 Calgary Stampeders+15.5 -263 Toronto Argonauts-16.5 +200 Calgary Stampeders+16.5 -286 Toronto Argonauts-17.5 +220 Calgary Stampeders+17.5 -312 Toronto Argonauts-18.5 +245 Calgary Stampeders+18.5 -357 Toronto Argonauts-19.5 +270 Calgary Stampeders+19.5 -400 Toronto Argonauts-20.5 +280 Calgary Stampeders+20.5 -417
Betano, Spread, CFL, British Columbia Lions @ Winnipeg Blue Bombers, 1st Half - Spread, British Columbia Lions+9.5 -303 Winnipeg Blue Bombers-9.5 +215 British Columbia Lions+6.5 -192 Winnipeg Blue Bombers-6.5 +145 British Columbia Lions+3.5 -122 Winnipeg Blue Bombers-3.5 -108 British Columbia Lions+0.5 +130 Winnipeg Blue Bombers-0.5 -175 British Columbia Lions-2.5 +210 Winnipeg Blue Bombers+2.5 -294
Betano, Spread, CFL, Toronto Argonauts @ Calgary Stampeders, 1st Half - Spread, Toronto Argonauts+0.5 -286 Calgary Stampeders-0.5 +205 Toronto Argonauts-2.5 -175 Calgary Stampeders+2.5 +132 Toronto Argonauts-5.5 -108 Calgary Stampeders+5.5 -122 Toronto Argonauts-8.5 +137 Calgary Stampeders+8.5 -182 Toronto Argonauts-11.5 +210 Calgary Stampeders+11.5 -294
Betano, Spread, CFL, British Columbia Lions @ Winnipeg Blue Bombers, 2nd Half - Spread, British Columbia Lions+7.5 -312 Winnipeg Blue Bombers-7.5 +220 British Columbia Lions+4.5 -182 Winnipeg Blue Bombers-4.5 +135 British Columbia Lions+1.5 -108 Winnipeg Blue Bombers-1.5 -122 British Columbia Lions-1.5 +147 Winnipeg Blue Bombers+1.5 -200 British Columbia Lions-4.5 +245 Winnipeg Blue Bombers+4.5 -357
Betano, Spread, CFL, Montreal Alouettes @ Hamilton Tiger-Cats, Spread, Montreal Alouettes+11.5 -417 Hamilton Tiger-Cats-11.5 +280 Montreal Alouettes+10.5 -385 Hamilton Tiger-Cats-10.5 +260 Montreal Alouettes+9.5 -345 Hamilton Tiger-Cats-9.5 +235 Montreal Alouettes+8.5 -323 Hamilton Tiger-Cats-8.5 +225 Montreal Alouettes+7.5 -286 Hamilton Tiger-Cats-7.5 +200 Montreal Alouettes+6.5 -238 Hamilton Tiger-Cats-6.5 +177 Montreal Alouettes+5.5 -222 Hamilton Tiger-Cats-5.5 +162 Montreal Alouettes+4.5 -200 Hamilton Tiger-Cats-4.5 +147 Montreal Alouettes+3.5 -182 Hamilton Tiger-Cats-3.5 +135 Montreal Alouettes+2.5 -143 Hamilton Tiger-Cats-2.5 +107 Montreal Alouettes+1.5 -128 Hamilton Tiger-Cats-1.5 -102 Montreal Alouettes+0.5 -118 Hamilton Tiger-Cats-0.5 -114 Montreal Alouettes-0.5 -118 Hamilton Tiger-Cats+0.5 -114 Montreal Alouettes-1.5 -108 Hamilton Tiger-Cats+1.5 -125 Montreal Alouettes-2.5 +105 Hamilton Tiger-Cats+2.5 -139 Montreal Alouettes-3.5 +130 Hamilton Tiger-Cats+3.5 -175 Montreal Alouettes-4.5 +142 Hamilton Tiger-Cats+4.5 -192 Montreal Alouettes-5.5 +157 Hamilton Tiger-Cats+5.5 -213 Montreal Alouettes-6.5 +167 Hamilton Tiger-Cats+6.5 -227 Montreal Alouettes-7.5 +195 Hamilton Tiger-Cats+7.5 -270 Montreal Alouettes-8.5 +215 Hamilton Tiger-Cats+8.5 -303 Montreal Alouettes-9.5 +230 Hamilton Tiger-Cats+9.5 -323 Montreal Alouettes-10.5 +250 Hamilton Tiger-Cats+10.5 -370 Montreal Alouettes-11.5 +270 Hamilton Tiger-Cats+11.5 -400 Montreal Alouettes-12.5 +295 Hamilton Tiger-Cats+12.5 -435
Betano, Spread, CFL, Montreal Alouettes @ Hamilton Tiger-Cats, 1st Half - Spread, Montreal Alouettes+5.5 -303 Hamilton Tiger-Cats-5.5 +215 Montreal Alouettes+2.5 -175 Hamilton Tiger-Cats-2.5 +130 Montreal Alouettes-0.5 -105 Hamilton Tiger-Cats+0.5 -125 Montreal Alouettes-3.5 +155 Hamilton Tiger-Cats+3.5 -213 Montreal Alouettes-6.5 +240 Hamilton Tiger-Cats+6.5 -345
Betano, Spread, CFL, Toronto Argonauts @ Calgary Stampeders, 2nd Half - Spread, Toronto Argonauts+3.5 -323 Calgary Stampeders-3.5 +225 Toronto Argonauts+0.5 -192 Calgary Stampeders-0.5 +145 Toronto Argonauts-2.5 -122 Calgary Stampeders+2.5 -108 Toronto Argonauts-5.5 +130 Calgary Stampeders+5.5 -175 Toronto Argonauts-8.5 +192 Calgary Stampeders+8.5 -270
Betano, Spread, CFL, Montreal Alouettes @ Hamilton Tiger-Cats, Quarter 1 Spread, Montreal Alouettes+5.5 -400 Hamilton Tiger-Cats-5.5 +275 Montreal Alouettes+2.5 -200 Hamilton Tiger-Cats-2.5 +147 Montreal Alouettes-0.5 +115 Hamilton Tiger-Cats+0.5 -154 Montreal Alouettes-3.5 +205 Hamilton Tiger-Cats+3.5 -286 Montreal Alouettes-6.5 +305 Hamilton Tiger-Cats+6.5 -455
