BettingSite, Event Tab, League, Event, Market, Stats
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Result, Detroit Lions +210
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Result, Tie +1100
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Result, Kansas City Chiefs -189
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Winner, Detroit Lions +190
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Winner, Kansas City Chiefs -227
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points, Under21.5 +215
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points, Over24.5 -154
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points, Over21.5 -278
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points, Under24.5 +125
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points, Under30.5 -192
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points, Under27.5 -125
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points, Over30.5 +155
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points, Over27.5 +102
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Spread, Detroit Lions+10.5 -303
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Spread, Kansas City Chiefs-10.5 +240
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points, Under33.5 -303
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Spread, Detroit Lions+7.5 -200
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Spread, Kansas City Chiefs-7.5 +160
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Spread, Detroit Lions+4.5 -125
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Spread, Kansas City Chiefs-4.5 +102
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Spread, Kansas City Chiefs-1.5 -167
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points, Over33.5 +235
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Spread, Detroit Lions+1.5 +137
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Spread, Kansas City Chiefs+1.5 -286
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points - Odd/Even, Even -111
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Spread, Detroit Lions-1.5 +225
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Result, Detroit Lions +165
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Result, Tie +1150
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points - Odd/Even, Odd -114
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Result, Kansas City Chiefs -154
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Winner, Kansas City Chiefs -175
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Winner, Detroit Lions +150
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Points, Over20.5 -250
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Points, Under20.5 +195
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Points, Over26.5 -118
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Points, Under23.5 +140
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Points, Over29.5 +135
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Points, Under26.5 -102
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Points, Over23.5 -175
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Points, Under29.5 -167
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Spread, Detroit Lions+6.5 -175
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Spread, Detroit Lions+9.5 -263
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Points, Under32.5 -263
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Spread, Kansas City Chiefs-9.5 +210
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Spread, Detroit Lions+3.5 -122
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Spread, Kansas City Chiefs-6.5 +140
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Spread, Detroit Lions+0.5 +125
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Spread, Kansas City Chiefs-3.5 +100
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Spread, Kansas City Chiefs-0.5 -154
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Result, Tie +900
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Points, Over32.5 +210
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Result, Carolina Panthers +142
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Result, Atlanta Falcons -120
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Spread, Kansas City Chiefs+2.5 -238
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Winner, Carolina Panthers +122
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Winner, Atlanta Falcons -143
Betano, Halftime markets, NFL, Detroit Lions @ Kansas City Chiefs, 2nd Half - Spread, Detroit Lions-2.5 +187
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points, Over19.5 -200
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points, Under16.5 +270
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points, Over22.5 -110
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points, Under19.5 +160
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points, Over25.5 +167
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points, Under22.5 -111
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points, Under28.5 -370
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points, Over16.5 -357
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Spread, Carolina Panthers+7.5 -357
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points, Over28.5 +275
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Spread, Carolina Panthers+4.5 -200
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Spread, Atlanta Falcons-4.5 +162
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Spread, Atlanta Falcons-7.5 +275
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Spread, Carolina Panthers+1.5 -108
Betano, Halftime markets, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points, Under25.5 -213
