BettingSite, Event Tab, League, Event, Market, Stats
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Game to go to Overtime, No -2500
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime/Full time, Detroit Lions/Detroit Lions +375
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime/Full time, Detroit Lions/Kansas City Chiefs +630
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime/Full time, Detroit Lions/Tie +2800
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime/Full time, Tie/Kansas City Chiefs +1500
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Game to go to Overtime, Yes +900
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime/Full time, Kansas City Chiefs/Detroit Lions +975
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime/Full time, Tie/Detroit Lions +3100
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime/Full time, Tie/Tie +9900
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime/Full time, Kansas City Chiefs/Tie +2600
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime with the most scored points, 1st Half -120
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime with the most scored points, Second Half +115
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Highest Scoring Quarter, First Quarter +620
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime with the most scored points, Draw +1650
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Halftime/Full time, Kansas City Chiefs/Kansas City Chiefs -139
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Highest Scoring Quarter, Draw +590
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Highest Scoring Quarter, Third Quarter +520
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Highest Scoring Quarter, Second Quarter +180
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Highest Scoring Quarter, Fourth Quarter +215
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Kansas City Chiefs to 10 -175
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Detroit Lions to 15 +160
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Kansas City Chiefs to 15 -200
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Detroit Lions to 20 +187
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Kansas City Chiefs to 20 -238
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Kansas City Chiefs to 25 -256
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Detroit Lions to 25 +200
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Kansas City Chiefs to 30 -294
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Detroit Lions to 35 +270
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Kansas City Chiefs to 35 -357
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Detroit Lions to 40 +315
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Detroit Lions to 10 +142
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Points - Odd/Even (incl. OT), Even +105
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Detroit Lions to 30 +230
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Race to X Points (Point X), Kansas City Chiefs to 40 -417
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points - Odd/Even, Odd -114
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Points - Odd/Even (incl. OT), Odd -128
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, 1st Half - Points - Odd/Even, Even -111
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Game to go to Overtime, Yes +800
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Odd/Even Total Points, Odd -115
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Game to go to Overtime, No -2000
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime/Full time, Carolina Panthers/Atlanta Falcons +660
Betano, Props, NFL, Detroit Lions @ Kansas City Chiefs, Odd/Even Total Points, Even -108
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime/Full time, Carolina Panthers/Tie +2500
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime/Full time, Tie/Tie +5900
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime/Full time, Carolina Panthers/Carolina Panthers +235
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime/Full time, Tie/Carolina Panthers +2000
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime/Full time, Atlanta Falcons/Atlanta Falcons +122
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime/Full time, Atlanta Falcons/Carolina Panthers +775
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime with the most scored points, Second Half +110
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime with the most scored points, 1st Half -111
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime/Full time, Tie/Atlanta Falcons +1550
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Highest Scoring Quarter, First Quarter +640
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime with the most scored points, Draw +1450
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Highest Scoring Quarter, Fourth Quarter +220
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Carolina Panthers to 10 +112
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Highest Scoring Quarter, Second Quarter +185
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Halftime/Full time, Atlanta Falcons/Tie +2400
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Atlanta Falcons to 10 -139
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Highest Scoring Quarter, Third Quarter +530
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Carolina Panthers to 15 +125
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Highest Scoring Quarter, Draw +520
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Carolina Panthers to 20 +127
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Atlanta Falcons to 20 -154
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Carolina Panthers to 25 +135
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Atlanta Falcons to 15 -154
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Carolina Panthers to 30 +140
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Atlanta Falcons to 35 -189
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Carolina Panthers to 35 +150
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Atlanta Falcons to 25 -167
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Atlanta Falcons to 30 -175
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Carolina Panthers to 40 +160
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Race to X Points (Point X), Atlanta Falcons to 40 -200
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Odd/Even Total Points, Odd -115
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Odd/Even Total Points, Even -105
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points - Odd/Even, Odd -115
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, 1st Half - Points - Odd/Even, Even -111
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Points - Odd/Even (incl. OT), Even +110
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Game to go to Overtime, No -2500
Betano, Props, NFL, Carolina Panthers @ Atlanta Falcons, Points - Odd/Even (incl. OT), Odd -133
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime/Full time, Houston Texans/Tie +2800
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime/Full time, Houston Texans/Houston Texans +550
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime/Full time, Houston Texans/Baltimore Ravens +600
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime/Full time, Tie/Baltimore Ravens +1250
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Game to go to Overtime, Yes +900
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime/Full time, Baltimore Ravens/Houston Texans +1200
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime/Full time, Baltimore Ravens/Tie +2600
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime/Full time, Baltimore Ravens/Baltimore Ravens -175
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime with the most scored points, 1st Half -114
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime with the most scored points, Second Half +110
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Highest Scoring Quarter, First Quarter +640
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime/Full time, Tie/Houston Texans +3600
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime with the most scored points, Draw +1500
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Highest Scoring Quarter, Second Quarter +185
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Highest Scoring Quarter, Third Quarter +530
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Highest Scoring Quarter, Fourth Quarter +220
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Houston Texans to 10 +187
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Baltimore Ravens to 10 -238
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Halftime/Full time, Tie/Tie +6900
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Houston Texans to 15 +235
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Baltimore Ravens to 15 -303
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Baltimore Ravens to 20 -385
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Houston Texans to 20 +290
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Baltimore Ravens to 25 -455
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Houston Texans to 25 +330
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Highest Scoring Quarter, Draw +530
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Baltimore Ravens to 30 -556
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Baltimore Ravens to 35 -714
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Houston Texans to 35 +480
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Baltimore Ravens to 40 -909
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Points - Odd/Even (incl. OT), Odd -128
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Points - Odd/Even (incl. OT), Even +105
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Houston Texans to 40 +570
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Odd/Even Total Points, Even -105
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Race to X Points (Point X), Houston Texans to 30 +390
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, 1st Half - Points - Odd/Even, Odd -110
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Game to go to Overtime, No -2000
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Game to go to Overtime, Yes +825
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, 1st Half - Points - Odd/Even, Even -118
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime/Full time, Arizona Cardinals/Arizona Cardinals +345
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime/Full time, Arizona Cardinals/Washington Commanders +610
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime/Full time, Arizona Cardinals/Tie +2500
Betano, Props, NFL, Houston Texans @ Baltimore Ravens, Odd/Even Total Points, Odd -115
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime/Full time, Tie/Arizona Cardinals +2500
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime/Full time, Tie/Washington Commanders +1300
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime/Full time, Washington Commanders/Arizona Cardinals +950
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime/Full time, Washington Commanders/Washington Commanders -115
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime with the most scored points, 1st Half -110
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime with the most scored points, Second Half +107
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime with the most scored points, Draw +1400
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime/Full time, Washington Commanders/Tie +2400
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Highest Scoring Quarter, Second Quarter +185
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Highest Scoring Quarter, First Quarter +640
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Highest Scoring Quarter, Fourth Quarter +220
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Highest Scoring Quarter, Third Quarter +530
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Arizona Cardinals to 10 +147
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Washington Commanders to 10 -182
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Halftime/Full time, Tie/Tie +5400
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Arizona Cardinals to 15 +172
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Highest Scoring Quarter, Draw +510
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Washington Commanders to 15 -213
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Arizona Cardinals to 20 +195
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Washington Commanders to 25 -270
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Washington Commanders to 20 -250
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Arizona Cardinals to 25 +215
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Washington Commanders to 30 -303
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Washington Commanders to 35 -357
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Arizona Cardinals to 35 +275
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Washington Commanders to 40 -417
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Points - Odd/Even (incl. OT), Odd -133
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Arizona Cardinals to 30 +240
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Odd/Even Total Points, Even -105
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Race to X Points (Point X), Arizona Cardinals to 40 +305
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Odd/Even Total Points, Odd -118
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, Points - Odd/Even (incl. OT), Even +110
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, 1st Half - Points - Odd/Even, Odd -115
Betano, Props, NFL, Arizona Cardinals @ Washington Commanders, 1st Half - Points - Odd/Even, Even -111
Betano, Props, NFL, Cincinnati Bengals @ Cleveland Browns, Halftime/Full time, Cincinnati Bengals/Tie +2500
Betano, Props, NFL, Cincinnati Bengals @ Cleveland Browns, Halftime/Full time, Cincinnati Bengals/Cincinnati Bengals +142
Betano, Props, NFL, Cincinnati Bengals @ Cleveland Browns, Game to go to Overtime, No -2000
Betano, Props, NFL, Cincinnati Bengals @ Cleveland Browns, Halftime/Full time, Cincinnati Bengals/Cleveland Browns +725
Betano, Props, NFL, Cincinnati Bengals @ Cleveland Browns, Halftime/Full time, Tie/Cleveland Browns +1850
Betano, Props, NFL, Cincinnati Bengals @ Cleveland Browns, Halftime/Full time, Tie/Cincinnati Bengals +1600
Betano, Props, NFL, Cincinnati Bengals @ Cleveland Browns, Halftime/Full time, Cleveland Browns/Cincinnati Bengals +660
