BettingSite, Event Tab, League, Event, Market, Stats
Betano, Other props, WNBA (W), Phoenix Mercury (W) @ Indiana Fever (W), Method of First Basket, Free Throw +700
Betano, Other props, WNBA (W), Phoenix Mercury (W) @ Indiana Fever (W), Method of First Basket, Two Point Shot -333
Betano, Other props, WNBA (W), Phoenix Mercury (W) @ Indiana Fever (W), Method of First Basket, Three Point Shot +275
Betano, Other props, WNBA (W), Phoenix Mercury (W) @ Indiana Fever (W), Method of Final Basket, Two Point Shot +135
Betano, Other props, WNBA (W), Phoenix Mercury (W) @ Indiana Fever (W), Method of Final Basket, Three Point Shot +400
Betano, Other props, WNBA (W), Phoenix Mercury (W) @ Indiana Fever (W), Last Team to Score, Phoenix Mercury (W) -115
Betano, Other props, WNBA (W), Phoenix Mercury (W) @ Indiana Fever (W), Method of Final Basket, Free Throw +100
Betano, Other props, WNBA (W), Phoenix Mercury (W) @ Indiana Fever (W), Last Team to Score, Indiana Fever (W) -115
Betano, Other props, WNBA (W), Atlanta Dream (W) @ Las Vegas Aces (W), Method of First Basket, Free Throw +700
Betano, Other props, WNBA (W), Atlanta Dream (W) @ Las Vegas Aces (W), Method of First Basket, Two Point Shot -333
Betano, Other props, WNBA (W), Atlanta Dream (W) @ Las Vegas Aces (W), Method of Final Basket, Two Point Shot +135
Betano, Other props, WNBA (W), Atlanta Dream (W) @ Las Vegas Aces (W), Method of Final Basket, Three Point Shot +400
Betano, Other props, WNBA (W), Atlanta Dream (W) @ Las Vegas Aces (W), Last Team to Score, Atlanta Dream (W) -115
Betano, Other props, WNBA (W), Atlanta Dream (W) @ Las Vegas Aces (W), Last Team to Score, Las Vegas Aces (W) -115
Betano, Other props, WNBA (W), New York Liberty (W) @ Los Angeles Sparks (W), Method of First Basket, Free Throw +700
Betano, Other props, WNBA (W), New York Liberty (W) @ Los Angeles Sparks (W), Method of First Basket, Two Point Shot -333
Betano, Other props, WNBA (W), New York Liberty (W) @ Los Angeles Sparks (W), Method of First Basket, Three Point Shot +275
Betano, Other props, WNBA (W), New York Liberty (W) @ Los Angeles Sparks (W), Method of Final Basket, Free Throw +100
Betano, Other props, WNBA (W), New York Liberty (W) @ Los Angeles Sparks (W), Method of Final Basket, Two Point Shot +135
Betano, Other props, WNBA (W), New York Liberty (W) @ Los Angeles Sparks (W), Last Team to Score, New York Liberty (W) -115
Betano, Other props, WNBA (W), New York Liberty (W) @ Los Angeles Sparks (W), Last Team to Score, Los Angeles Sparks (W) -115
Betano, Other props, WNBA (W), Atlanta Dream (W) @ Las Vegas Aces (W), Method of Final Basket, Free Throw +100
Betano, Other props, WNBA (W), Atlanta Dream (W) @ Las Vegas Aces (W), Method of First Basket, Three Point Shot +275
Betano, Other props, WNBA (W), New York Liberty (W) @ Los Angeles Sparks (W), Method of Final Basket, Three Point Shot +400
