BettingSite, Event Tab, League, Event, Market, Stats
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Aces, Under12.5 -133
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Aces, 12+ -143
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Aces, Over12.5 -105
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Aces, 14+ +130
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Aces, 11+ -213
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Aces, 13+ -105
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Aces, 15+ +172
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Aces, Over6.5 -122
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Aces, 6+ -213
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Aces, Under6.5 -114
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Aces, 8+ +132
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Aces, 7+ -122
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Aces, Over5.5 -114
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Aces, 9+ +205
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Aces, Under5.5 -120
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Aces, 5+ -213
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Aces, 6+ -114
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Aces, 8+ +250
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces & Double Faults, Over17.5 -128
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces & Double Faults, Under17.5 -108
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Aces, 7+ +152
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces & Double Faults, 16+ -222
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces & Double Faults, 24+ +270
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces & Double Faults, 18+ -133
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces & Double Faults, 26+ +400
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces & Double Faults, 22+ +182
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces & Double Faults, 28+ +570
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces - Set 1, Under5.5 -154
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces & Double Faults, 20+ +120
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces & Double Faults - Set 1, Over7.5 -118
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Aces, 16+ +225
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces - Set 1, Over5.5 +112
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set With Most Aces (Between First Two), First Set +110
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set With Most Aces (Between First Two), Second set +107
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set With Most Aces (Between First Two), Tie +620
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 2 Aces, Daniel Altmaier -102
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Aces & Double Faults - Set 1, Under7.5 -118
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 2 Aces, Neither +17400
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 2 Aces, Marc-Andrea Huesler -167
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 3 Aces, Daniel Altmaier +110
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 3 Aces, Marc-Andrea Huesler -175
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 4 Aces, Neither +1200
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 4 Aces, Marc-Andrea Huesler -167
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 4 Aces, Daniel Altmaier +130
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 3 Aces, Neither +3600
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 5 Aces, Daniel Altmaier +162
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 5 Aces, Marc-Andrea Huesler -143
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 7 Aces, Marc-Andrea Huesler +118
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 5 Aces, Neither +500
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 6 Aces, Marc-Andrea Huesler -115
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 6 Aces, Daniel Altmaier +210
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 8 Aces, Marc-Andrea Huesler +160
Betano, Aces, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race To 8 Aces, Daniel Altmaier +400
