BettingSite, Event Tab, League, Event, Market, Stats
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, First Service Break, Marc-Andrea Huesler +142
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Service Breaks, Over1.5 -139
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, First Service Break, Daniel Altmaier -200
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Service Breaks, Under1.5 +100
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Service Breaks, Over3.5 +135
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Service Breaks, Under3.5 -189
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Service Breaks - Set 1, Over1.5 -200
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Service Breaks - Set 1, Under1.5 +142
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Service Breaks - Set 1, Over0.5 -143
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Service Breaks, Over4.5 -133
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Service Breaks, Under4.5 -102
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Service Breaks - Set 1, Over1.5 +120
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Service Breaks - Set 1, Under0.5 +102
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Service Breaks - Set 1, Under1.5 -167
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Service Breaks 3way, Tie +700
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Service Breaks, Marc-Andrea Huesler +220
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Service Breaks 3way, Marc-Andrea Huesler +250
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Service Breaks 3way, Daniel Altmaier -238
Betano, Break Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, First Service Break, Dennis Novak +100
Betano, Break Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Service Breaks, Daniel Altmaier -323
Betano, Break Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Thiago Seyboth Wild Service Breaks, Over3.5 +137
Betano, Break Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Thiago Seyboth Wild Service Breaks, Under3.5 -192
