BettingSite, Event Tab, League, Event, Market, Stats
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Faults, Over5.5 -133
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Faults, Under5.5 -102
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Faults, 7+ +130
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Faults, 8+ +210
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Faults, 5+ -256
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Faults, 10+ +500
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Faults, 6+ -133
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Double Faults, Over3.5 -133
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Double Faults, 4+ -133
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Double Faults, Under3.5 -105
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Double Faults, 3+ -323
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Double Faults, 2+ -1250
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Double Faults, 6+ +290
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Double Faults, Over1.5 -175
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Double Faults, 7+ +510
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Double Faults, Under1.5 +127
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Double Faults, 1+ -909
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Double Faults, 5+ +152
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Double Faults, 3+ +152
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Double Faults, 4+ +340
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Double Faults, 2+ -182
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Faults - Set 1, Over2.5 +100
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Faults - Set 1, Under2.5 -139
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Total Double Faults - Set 1, Under1.5 -125
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Total Double Faults - Set 1, Over0.5 -161
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Total Double Faults - Set 1, Over1.5 -110
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Faults, 9+ +330
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Double Faults, 0-1 +2000
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Double Faults, 4-5 +205
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Total Double Faults - Set 1, Under0.5 +115
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Double Faults, 8-9 +390
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Double Faults, 10-11 +800
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Double Faults, 6-7 +230
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Double Faults, 12-13 +1900
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race to 2 Double Faults, Marc-Andrea Huesler -263
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Total Double Faults, 14+ +3900
