BettingSite, Event Tab, League, Event, Market, Stats
Betano, Duration Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Duration, Over110.5 -118
Betano, Duration Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Duration, Under110.5 -118
Betano, Duration Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Duration (Set 1), Over44.5 -118
Betano, Duration Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Duration (Set 1), Under44.5 -118
Betano, Duration Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Duration, Under114.5 -118
Betano, Duration Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Duration (Set 1), Over45.5 -118
Betano, Duration Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Duration (Set 1), Under45.5 -118
Betano, Duration Markets, Kitzbuhel, Laslo Djere - Christopher O'Connell, Duration, Under109.5 -118
Betano, Duration Markets, Kitzbuhel, Laslo Djere - Christopher O'Connell, Duration (Set 1), Over43.5 -118
Betano, Duration Markets, Kitzbuhel, Laslo Djere - Christopher O'Connell, Duration, Over109.5 -118
Betano, Duration Markets, Kitzbuhel, Laslo Djere - Christopher O'Connell, Duration (Set 1), Under43.5 -118
Betano, Duration Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Duration, Over110.5 -118
Betano, Duration Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Duration (Set 1), Over45.5 -118
Betano, Duration Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Duration, Under110.5 -118
Betano, Duration Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Duration (Set 1), Under45.5 -118
Betano, Duration Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Duration, Under107.5 -118
Betano, Duration Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Duration (Set 1), Over45.5 -118
Betano, Duration Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Duration (Set 1), Under45.5 -118
