BettingSite, Event Tab, League, Event, Market, Stats
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Tie Breaks, Under1.5 -2500
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Tie Breaks, Under0.5 -200
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Tie Breaks, Over0.5 +147
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Result Set and Match, Marc-Andrea Huesler to win first set and match +295
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Result Set and Match, Marc-Andrea Huesler to win first set and lose match +580
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Result Set and Match, Daniel Altmaier to win first set and match -175
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Double Result Set and Match, Daniel Altmaier to win first set and lose match +950
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Win from behind (sets), Yes +950
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Tie Breaks, Over1.5 +800
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Win from behind (sets), Yes +580
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Win from behind (sets), No -909
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Win from behind (sets), No -1667
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, (Marc-Andrea Huesler) First Service Game Winner, Daniel Altmaier +215
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, (Marc-Andrea Huesler) First Service Game Winner, Marc-Andrea Huesler -323
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Score After 2 Games (Set 1), 2-0 +480
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, (Daniel Altmaier) First Service Game Winner, Marc-Andrea Huesler +365
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, First Service Break, Daniel Altmaier -200
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, (Daniel Altmaier) First Service Game Winner, Daniel Altmaier -667
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, First Service Break, Marc-Andrea Huesler +142
Betano, Other props, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Score After 2 Games (Set 1), 0-2 +240
