BettingSite, Event Tab, League, Event, Market, Stats
Betano, Service Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler First Serve In Percentage (%), Over58.5 -118
Betano, Service Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler First Serve In Percentage (%), Under58.5 -118
Betano, Service Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Thiago Seyboth Wild First Serve In Percentage (%), Under63.5 -118
Betano, Service Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier First Serve In Percentage (%), Under64.5 -118
Betano, Service Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier First Serve In Percentage (%), Over64.5 -118
Betano, Service Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Thiago Seyboth Wild First Serve In Percentage (%), Over63.5 -118
Betano, Service Markets, Kitzbuhel, Laslo Djere - Christopher O'Connell, Laslo Djere First Serve In Percentage (%), Over61.5 -118
Betano, Service Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Dennis Novak First Serve In Percentage (%), Under64.5 -118
Betano, Service Markets, Kitzbuhel, Laslo Djere - Christopher O'Connell, Christopher O'Connell First Serve In Percentage (%), Over61.5 -118
Betano, Service Markets, Kitzbuhel, Laslo Djere - Christopher O'Connell, Christopher O'Connell First Serve In Percentage (%), Under61.5 -118
Betano, Service Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Dusan Lajovic First Serve In Percentage (%), Under66.5 -118
Betano, Service Markets, Kitzbuhel, Laslo Djere - Christopher O'Connell, Laslo Djere First Serve In Percentage (%), Under61.5 -118
Betano, Service Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Zhizhen Zhang First Serve In Percentage (%), Over65.5 -118
Betano, Service Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Dennis Novak First Serve In Percentage (%), Over64.5 -118
Betano, Service Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Alexei Popyrin First Serve In Percentage (%), Over60.5 -118
Betano, Service Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Alexei Popyrin First Serve In Percentage (%), Under60.5 -118
Betano, Service Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Dusan Lajovic First Serve In Percentage (%), Over66.5 -118
Betano, Service Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Zhizhen Zhang First Serve In Percentage (%), Under65.5 -118
Betano, Service Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Arthur Rinderknech First Serve In Percentage (%), Under63.5 -118
Betano, Service Markets, Kitzbuhel, Facundo Bagnis - Dominic Thiem, Facundo Bagnis First Serve In Percentage (%), Under63.5 -118
Betano, Service Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Arthur Rinderknech First Serve In Percentage (%), Over63.5 -118
Betano, Service Markets, Kitzbuhel, Facundo Bagnis - Dominic Thiem, Dominic Thiem First Serve In Percentage (%), Over61.5 -118
Betano, Service Markets, Kitzbuhel, Facundo Bagnis - Dominic Thiem, Dominic Thiem First Serve In Percentage (%), Under61.5 -118
Betano, Service Markets, Kitzbuhel, Facundo Bagnis - Dominic Thiem, Facundo Bagnis First Serve In Percentage (%), Over63.5 -118
Betano, Service Markets, Los Cabos, Alejandro Tabilo - Felipe Meligeni Alves, Alejandro Tabilo First Serve In Percentage (%), Over64.5 -118
Betano, Service Markets, Los Cabos, Alejandro Tabilo - Felipe Meligeni Alves, Alejandro Tabilo First Serve In Percentage (%), Under64.5 -118
Betano, Service Markets, Los Cabos, Gabriel Diallo - Gijs Brouwer, Gabriel Diallo First Serve In Percentage (%), Over66.5 -118
Betano, Service Markets, Los Cabos, Alejandro Tabilo - Felipe Meligeni Alves, Felipe Meligeni Alves First Serve In Percentage (%), Over68.5 -118
Betano, Service Markets, Los Cabos, Gabriel Diallo - Gijs Brouwer, Gijs Brouwer First Serve In Percentage (%), Over67.5 -118
Betano, Service Markets, Los Cabos, Gabriel Diallo - Gijs Brouwer, Gabriel Diallo First Serve In Percentage (%), Under66.5 -118
Betano, Service Markets, Los Cabos, Alejandro Tabilo - Felipe Meligeni Alves, Felipe Meligeni Alves First Serve In Percentage (%), Under68.5 -118
Betano, Service Markets, Los Cabos, Rinky Hijikata - John Isner, Rinky Hijikata First Serve In Percentage (%), Over59.5 -118
Betano, Service Markets, Los Cabos, Rinky Hijikata - John Isner, Rinky Hijikata First Serve In Percentage (%), Under59.5 -118
Betano, Service Markets, Los Cabos, Rinky Hijikata - John Isner, John Isner First Serve In Percentage (%), Under69.5 -118
Betano, Service Markets, Los Cabos, Gabriel Diallo - Gijs Brouwer, Gijs Brouwer First Serve In Percentage (%), Under67.5 -118
Betano, Service Markets, Los Cabos, Aleksandar Kovacevic - Omni Kumar, Aleksandar Kovacevic First Serve In Percentage (%), Under61.5 -118
Betano, Service Markets, Los Cabos, Aleksandar Kovacevic - Omni Kumar, Aleksandar Kovacevic First Serve In Percentage (%), Over61.5 -118
Betano, Service Markets, Los Cabos, Gonzalo Lama - Thiago Agustin Tirante, Gonzalo Lama First Serve In Percentage (%), Over61.5 -118
Betano, Service Markets, Los Cabos, Gonzalo Lama - Thiago Agustin Tirante, Gonzalo Lama First Serve In Percentage (%), Under61.5 -118
Betano, Service Markets, Los Cabos, Gonzalo Lama - Thiago Agustin Tirante, Thiago Agustin Tirante First Serve In Percentage (%), Under67.5 -118
Betano, Service Markets, Los Cabos, Gonzalo Lama - Thiago Agustin Tirante, Thiago Agustin Tirante First Serve In Percentage (%), Over67.5 -118
Betano, Service Markets, Los Cabos, Otto Virtanen - James Duckworth, Otto Virtanen First Serve In Percentage (%), Over56.5 -118
Betano, Service Markets, Los Cabos, Otto Virtanen - James Duckworth, Otto Virtanen First Serve In Percentage (%), Under56.5 -118
Betano, Service Markets, Los Cabos, Otto Virtanen - James Duckworth, James Duckworth First Serve In Percentage (%), Over56.5 -118
Betano, Service Markets, Los Cabos, Otto Virtanen - James Duckworth, James Duckworth First Serve In Percentage (%), Under56.5 -118
Betano, Service Markets, Los Cabos, Dominik Koepfer - Marcelo Tomas Barrios Vera, Dominik Koepfer First Serve In Percentage (%), Over66.5 -118
Betano, Service Markets, Los Cabos, Rinky Hijikata - John Isner, John Isner First Serve In Percentage (%), Over69.5 -118
Betano, Service Markets, Los Cabos, Dominik Koepfer - Marcelo Tomas Barrios Vera, Dominik Koepfer First Serve In Percentage (%), Under66.5 -118
Betano, Service Markets, Los Cabos, Dominik Koepfer - Marcelo Tomas Barrios Vera, Marcelo Tomas Barrios Vera First Serve In Percentage (%), Under59.5 -118
Betano, Service Markets, Los Cabos, Borna Gojo - Christian Garin, Borna Gojo First Serve In Percentage (%), Over63.5 -118
Betano, Service Markets, Los Cabos, Dominik Koepfer - Marcelo Tomas Barrios Vera, Marcelo Tomas Barrios Vera First Serve In Percentage (%), Over59.5 -118
Betano, Service Markets, Los Cabos, Borna Gojo - Christian Garin, Christian Garin First Serve In Percentage (%), Under62.5 -118
Betano, Service Markets, Los Cabos, Borna Gojo - Christian Garin, Christian Garin First Serve In Percentage (%), Over62.5 -118
Betano, Service Markets, Los Cabos, Rodrigo Pacheco Mendez - Nicolas Jarry, Rodrigo Pacheco Mendez First Serve In Percentage (%), Under60.5 -118
Betano, Service Markets, Los Cabos, Rodrigo Pacheco Mendez - Nicolas Jarry, Rodrigo Pacheco Mendez First Serve In Percentage (%), Over60.5 -118
Betano, Service Markets, Los Cabos, Rodrigo Pacheco Mendez - Nicolas Jarry, Nicolas Jarry First Serve In Percentage (%), Over64.5 -118
Betano, Service Markets, Los Cabos, Borna Gojo - Christian Garin, Borna Gojo First Serve In Percentage (%), Under63.5 -118
Betano, Service Markets, Los Cabos, Rodrigo Pacheco Mendez - Nicolas Jarry, Nicolas Jarry First Serve In Percentage (%), Under64.5 -118
Betano, Service Markets, Washington, Gael Monfils - Bjorn Fratangelo, Gael Monfils First Serve In Percentage (%), Over59.5 -118
Betano, Service Markets, Washington, Gael Monfils - Bjorn Fratangelo, Gael Monfils First Serve In Percentage (%), Under59.5 -118
Betano, Service Markets, Washington, Gael Monfils - Bjorn Fratangelo, Bjorn Fratangelo First Serve In Percentage (%), Under65.5 -118
Betano, Service Markets, Washington, Gael Monfils - Bjorn Fratangelo, Bjorn Fratangelo First Serve In Percentage (%), Over65.5 -118
Betano, Service Markets, Washington, Taro Daniel - Thanasi Kokkinakis, Thanasi Kokkinakis First Serve In Percentage (%), Over63.5 -118
Betano, Service Markets, Washington, Taro Daniel - Thanasi Kokkinakis, Taro Daniel First Serve In Percentage (%), Over61.5 -118
Betano, Service Markets, Washington, Taro Daniel - Thanasi Kokkinakis, Thanasi Kokkinakis First Serve In Percentage (%), Under63.5 -118
Betano, Service Markets, Washington, Lloyd George Muirhead Harris - Kei Nishikori, Lloyd George Muirhead Harris First Serve In Percentage (%), Over65.5 -118
Betano, Service Markets, Washington, Lloyd George Muirhead Harris - Kei Nishikori, Lloyd George Muirhead Harris First Serve In Percentage (%), Under65.5 -118
Betano, Service Markets, Washington, Lloyd George Muirhead Harris - Kei Nishikori, Kei Nishikori First Serve In Percentage (%), Over66.5 -118
Betano, Service Markets, Washington, Taro Daniel - Thanasi Kokkinakis, Taro Daniel First Serve In Percentage (%), Under61.5 -118
Betano, Service Markets, Washington, Lloyd George Muirhead Harris - Kei Nishikori, Kei Nishikori First Serve In Percentage (%), Under66.5 -118
Betano, Service Markets, Washington, Zachary Svajda - Max Purcell, Zachary Svajda First Serve In Percentage (%), Under63.5 -118
Betano, Service Markets, Washington, Aleksandar Vukic - Brandon Nakashima, Aleksandar Vukic First Serve In Percentage (%), Over63.5 -118
Betano, Service Markets, Washington, Zachary Svajda - Max Purcell, Max Purcell First Serve In Percentage (%), Under62.5 -118
Betano, Service Markets, Washington, Zachary Svajda - Max Purcell, Zachary Svajda First Serve In Percentage (%), Over63.5 -118
Betano, Service Markets, Washington, Aleksandar Vukic - Brandon Nakashima, Aleksandar Vukic First Serve In Percentage (%), Under63.5 -118
Betano, Service Markets, Washington, Aleksandar Vukic - Brandon Nakashima, Brandon Nakashima First Serve In Percentage (%), Over65.5 -118
Betano, Service Markets, Washington, Aleksandar Vukic - Brandon Nakashima, Brandon Nakashima First Serve In Percentage (%), Under65.5 -118
Betano, Service Markets, Washington, Zachary Svajda - Max Purcell, Max Purcell First Serve In Percentage (%), Over62.5 -118
Betano, Service Markets, Washington, Kevin Anderson - Jordan Thompson, Kevin Anderson First Serve In Percentage (%), Over64.5 -118
Betano, Service Markets, Washington, Kevin Anderson - Jordan Thompson, Kevin Anderson First Serve In Percentage (%), Under64.5 -118
Betano, Service Markets, Washington, Kevin Anderson - Jordan Thompson, Jordan Thompson First Serve In Percentage (%), Under61.5 -118
Betano, Service Markets, Washington, Kevin Anderson - Jordan Thompson, Jordan Thompson First Serve In Percentage (%), Over61.5 -118
