BettingSite, Event Tab, League, Event, Market, Stats
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Winner (Set 1), Marc-Andrea Huesler +170 Daniel Altmaier -238
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Winner (Set 2), Marc-Andrea Huesler +170 Daniel Altmaier -238
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Betting, 0 - 2 -105 1 - 2 +270
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Setcast, Daniel Altmaier - Daniel Altmaier -105 Marc-Andrea Huesler - Marc-Andrea Huesler +510 Marc-Andrea Huesler - Daniel Altmaier - Daniel Altmaier +580 Daniel Altmaier - Marc-Andrea Huesler - Daniel Altmaier +580 Daniel Altmaier - Marc-Andrea Huesler - Marc-Andrea Huesler +950 Marc-Andrea Huesler - Daniel Altmaier - Marc-Andrea Huesler +950
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Number of Sets, 2 -182 3 +137
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Match Handicap (Set), Marc-Andrea Huesler-1.5 +510 Daniel Altmaier+1.5 -769 Marc-Andrea Huesler+1.5 -125 Daniel Altmaier-1.5 -105
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Winner & Set Games (Set 1), Marc-Andrea Huesler and Over10.5 +630 Marc-Andrea Huesler and Under10.5 +290 Daniel Altmaier and Over10.5 +420 Daniel Altmaier and Under10.5 -122
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Winner & Set Games (Set 2), Marc-Andrea Huesler and Over9.5 +330 Marc-Andrea Huesler and Under9.5 +530 Daniel Altmaier and Over9.5 +170 Daniel Altmaier and Under9.5 +165
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Winner & Set Games (Set 2), Marc-Andrea Huesler and Over10.5 +630 Marc-Andrea Huesler and Under10.5 +290 Daniel Altmaier and Over10.5 +420 Daniel Altmaier and Under10.5 -122
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Game Spread  (Set 1), Marc-Andrea Huesler+2.5 -200 Daniel Altmaier-2.5 +150
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Winner & Set Games (Set 1), Marc-Andrea Huesler and Over9.5 +315 Marc-Andrea Huesler and Under9.5 +560 Daniel Altmaier and Over9.5 +185 Daniel Altmaier and Under9.5 +152
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Game Spread  (Set 2), Marc-Andrea Huesler+2.5 -222 Daniel Altmaier-2.5 +162
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Betting, 2 - 1 +480 2 - 0 +510
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Total Games (Set 1), Over6.5 -10000 Under6.5 +1025 Over7.5 -1111 Under7.5 +530 Over8.5 -385 Under8.5 +245 Over9.5 -125 Under9.5 -110 Over10.5 +215 Under10.5 -323 Over12.5 +335 Under12.5 -556
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Game Spread  (Set 1), Marc-Andrea Huesler+1.5 +115 Daniel Altmaier-1.5 -154
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Total Games (Set 2), Over6.5 -10000 Under6.5 +1025 Over7.5 -1250 Under7.5 +560 Over8.5 -385 Under8.5 +245 Over9.5 -133 Under9.5 -105 Over10.5 +215 Under10.5 -323 Over12.5 +335 Under12.5 -556
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Games Odd/Even (Set 2), Odd -110 Even -128
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Game Spread  (Set 2), Marc-Andrea Huesler+1.5 +115 Daniel Altmaier-1.5 -154
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Score (Set 1), 3 - 6 +400 4 - 6 +450 2 - 6 +670 6 - 7 +700 1 - 6 +1075 5 - 7 +1200 0 - 6 +3900
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Score (Set 1), 6 - 4 +725 7 - 6 +950 6 - 3 +1000 6 - 2 +2000 7 - 5 +2000 6 - 1 +3900 6 - 0 +14900
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Score (Set 2), 6 - 4 +800 6 - 3 +900 7 - 6 +950 6 - 2 +2000 7 - 5 +2000 6 - 1 +3900 6 - 0 +14900
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Score (Set 2), 4 - 6 +390 3 - 6 +450 2 - 6 +620 6 - 7 +700 1 - 6 +1200 5 - 7 +1200 0 - 6 +3900
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, 1st Set Correct Score (Multiple), 6-0 6-1 or 6-2 +1400 6-3 or 6-4 +410 7-5 or 7-6 +660 0-6 1-6 or 2-6 +365 3-6 or 4-6 +177 5-7 or 6-7 +430
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set Games Odd/Even (Set 1), Odd -118 Even -118
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Win a Set, Yes -125 No -105
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Marc-Andrea Huesler Win 2 Sets, Yes +220 No -278
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set to end 6:0 or 0:6, Yes +925 No -3333
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Win 2 Sets, Yes -278 No +220
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Set Winner (Set 1), Thiago Seyboth Wild -154 Dennis Novak +115
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Daniel Altmaier Win a Set, Yes -769 No +510
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Set Betting, 2 - 0 +147 2 - 1 +285
Betano, Set Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Both Players to Win a Set, Yes +137 No -182
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Setcast, Thiago Seyboth Wild - Thiago Seyboth Wild +147 Dennis Novak - Dennis Novak +310 Dennis Novak - Thiago Seyboth Wild - Thiago Seyboth Wild +610 Thiago Seyboth Wild - Dennis Novak - Thiago Seyboth Wild +610 Dennis Novak - Thiago Seyboth Wild - Dennis Novak +750 Thiago Seyboth Wild - Dennis Novak - Dennis Novak +750
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Set Winner (Set 2), Thiago Seyboth Wild -154 Dennis Novak +115
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Match Handicap (Set), Thiago Seyboth Wild-1.5 +147 Dennis Novak+1.5 -200 Thiago Seyboth Wild+1.5 -435 Dennis Novak-1.5 +310
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Set Winner & Set Games (Set 1), Thiago Seyboth Wild and Over9.5 +225 Thiago Seyboth Wild and Under9.5 +190 Dennis Novak and Over9.5 +245 Dennis Novak and Under9.5 +400
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Set Winner & Set Games (Set 2), Thiago Seyboth Wild and Over9.5 +200 Thiago Seyboth Wild and Under9.5 +215 Dennis Novak and Over9.5 +265 Dennis Novak and Under9.5 +365
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Set Winner & Set Games (Set 1), Thiago Seyboth Wild and Over10.5 +460 Thiago Seyboth Wild and Under10.5 +112 Dennis Novak and Over10.5 +550 Dennis Novak and Under10.5 +200
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Number of Sets, 2 -161 3 +120
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Set Winner & Set Games (Set 2), Thiago Seyboth Wild and Over10.5 +460 Thiago Seyboth Wild and Under10.5 +112 Dennis Novak and Over10.5 +550 Dennis Novak and Under10.5 +200
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Game Spread  (Set 1), Thiago Seyboth Wild+1.5 -222 Dennis Novak-1.5 +162
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Set Betting, 0 - 2 +310 1 - 2 +365
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Game Spread  (Set 1), Thiago Seyboth Wild-1.5 -110 Dennis Novak+1.5 -122
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Set Total Games (Set 1), Over6.5 -10000 Under6.5 +1025 Over7.5 -1250 Under7.5 +540 Over8.5 -385 Under8.5 +255 Over9.5 -128 Under9.5 -108 Over10.5 +210 Under10.5 -312 Over12.5 +335 Under12.5 -556
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Game Spread  (Set 2), Thiago Seyboth Wild-1.5 -110 Dennis Novak+1.5 -122
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Set Games Odd/Even (Set 2), Odd -110 Even -128
Betano, Set Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Set Total Games (Set 2), Over6.5 -10000 Under6.5 +1025 Over7.5 -1250 Under7.5 +570 Over8.5 -385 Under8.5 +255 Over9.5 -133 Under9.5 -102 Over10.5 +210 Under10.5 -312 Over12.5 +335 Under12.5 -556
