BettingSite, Event Tab, League, Event, Market, Stats
Betano, Spread Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Match Handicap (Set), Marc-Andrea Huesler-1.5 +510 Daniel Altmaier+1.5 -769 Marc-Andrea Huesler+1.5 -125 Daniel Altmaier-1.5 -105
Betano, Spread Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Spread Games, Marc-Andrea Huesler-6.5 +975 Daniel Altmaier+6.5 -6667 Marc-Andrea Huesler-5.5 +775 Daniel Altmaier+5.5 -2500 Marc-Andrea Huesler-4.5 +560 Daniel Altmaier+4.5 -1250 Marc-Andrea Huesler-3.5 +390 Daniel Altmaier+3.5 -714 Marc-Andrea Huesler-2.5 +300 Daniel Altmaier+2.5 -500 Marc-Andrea Huesler-1.5 +250 Daniel Altmaier+1.5 -385 Marc-Andrea Huesler-0.5 +220 Daniel Altmaier+0.5 -323 Marc-Andrea Huesler+0.5 +190 Daniel Altmaier-0.5 -278 Marc-Andrea Huesler+1.5 +165 Daniel Altmaier-1.5 -238 Marc-Andrea Huesler+2.5 +132 Daniel Altmaier-2.5 -182 Marc-Andrea Huesler+3.5 -108 Daniel Altmaier-3.5 -128 Marc-Andrea Huesler+4.5 -175 Daniel Altmaier-4.5 +125 Marc-Andrea Huesler+5.5 -312 Daniel Altmaier-5.5 +210 Marc-Andrea Huesler+6.5 -588 Daniel Altmaier-6.5 +350 Marc-Andrea Huesler+7.5 -1429 Daniel Altmaier-7.5 +600 Marc-Andrea Huesler+8.5 -4000 Daniel Altmaier-8.5 +850
Betano, Spread Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Game Spread  (Set 1), Marc-Andrea Huesler+1.5 +115 Daniel Altmaier-1.5 -154
Betano, Spread Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Spread Games, Thiago Seyboth Wild-8.5 +925 Dennis Novak+8.5 -6667 Thiago Seyboth Wild-7.5 +725 Dennis Novak+7.5 -2500 Thiago Seyboth Wild-6.5 +440 Dennis Novak+6.5 -833 Thiago Seyboth Wild-5.5 +295 Dennis Novak+5.5 -476 Thiago Seyboth Wild-4.5 +175 Dennis Novak+4.5 -250 Thiago Seyboth Wild-3.5 +120 Dennis Novak+3.5 -167 Thiago Seyboth Wild-2.5 -118 Dennis Novak+2.5 -118 Thiago Seyboth Wild-1.5 -143 Dennis Novak+1.5 +102 Thiago Seyboth Wild-0.5 -167 Dennis Novak+0.5 +118 Thiago Seyboth Wild+0.5 -189 Dennis Novak-0.5 +135 Thiago Seyboth Wild+1.5 -222 Dennis Novak-1.5 +155 Thiago Seyboth Wild+2.5 -278 Dennis Novak-2.5 +190 Thiago Seyboth Wild+3.5 -385 Dennis Novak-3.5 +245 Thiago Seyboth Wild+4.5 -667 Dennis Novak-4.5 +380 Thiago Seyboth Wild+5.5 -1250 Dennis Novak-5.5 +540 Thiago Seyboth Wild+6.5 -3333 Dennis Novak-6.5 +800 Thiago Seyboth Wild+7.5 -6667 Dennis Novak-7.5 +975
Betano, Spread Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Game Spread  (Set 1), Marc-Andrea Huesler+2.5 -200 Daniel Altmaier-2.5 +150
Betano, Spread Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Match Handicap (Set), Thiago Seyboth Wild-1.5 +147 Dennis Novak+1.5 -200 Thiago Seyboth Wild+1.5 -435 Dennis Novak-1.5 +310
Betano, Spread Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Game Spread  (Set 2), Marc-Andrea Huesler+1.5 +115 Daniel Altmaier-1.5 -154
Betano, Spread Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Game Spread  (Set 1), Thiago Seyboth Wild-1.5 -110 Dennis Novak+1.5 -122
Betano, Spread Markets, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Game Spread  (Set 2), Marc-Andrea Huesler+2.5 -222 Daniel Altmaier-2.5 +162
Betano, Spread Markets, Kitzbuhel, Laslo Djere - Christopher O'Connell, Spread Games, Laslo Djere-8.5 +950 Christopher O'Connell+8.5 -6667 Laslo Djere-7.5 +680 Christopher O'Connell+7.5 -2000 Laslo Djere-6.5 +440 Christopher O'Connell+6.5 -833 Laslo Djere-5.5 +255 Christopher O'Connell+5.5 -400 Laslo Djere-4.5 +167 Christopher O'Connell+4.5 -238 Laslo Djere-3.5 +100 Christopher O'Connell+3.5 -139 Laslo Djere-2.5 -139 Christopher O'Connell+2.5 +100 Laslo Djere-1.5 -175 Christopher O'Connell+1.5 +125 Laslo Djere-0.5 -200 Christopher O'Connell+0.5 +142 Laslo Djere+0.5 -227 Christopher O'Connell-0.5 +162 Laslo Djere+1.5 -270 Christopher O'Connell-1.5 +187 Laslo Djere+2.5 -333 Christopher O'Connell-2.5 +225 Laslo Djere+3.5 -500 Christopher O'Connell-3.5 +300 Laslo Djere+4.5 -769 Christopher O'Connell-4.5 +420 Laslo Djere+5.5 -1667 Christopher O'Connell-5.5 +640 Laslo Djere+6.5 -3333 Christopher O'Connell-6.5 +825
