BettingSite, Event Tab, League, Event, Market, Stats
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Total Aces, 3+ -345 4+ -143 5+ +140 6+ +260
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Total Aces, Over3.5 -139 Under3.5 +100
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Aces, Over0.5 -115 Under0.5 -120
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Aces, 1+ -120 2+ +380 3+ +1025 4+ +1650
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Aces, Over3.5 +122 Under3.5 -167
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Aces & Double Faults, Over10.5 -102 Under10.5 -133
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Aces & Double Faults, 10+ -154 11+ -108 12+ +132 13+ +182 14+ +250
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Aces & Double Faults - Set 1, Over4.5 +110 Under4.5 -154
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Total Aces - Set 1, Over0.5 +230 Under0.5 -345
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Aces, 2+ -625 3+ -192 4+ +118 5+ +240
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Total Aces - Set 1, Over1.5 +130 Under1.5 -182
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, First Ace, Lucrezia Stefanini +325 Kaia Kanepi -526
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Most Aces, Lucrezia Stefanini +850 Tie +440 Kaia Kanepi -769
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Total Aces and Double Faults, Over3.5 -128 Under3.5 -108
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set With Most Aces (Between First Two), First Set +140 Tie +290 Second set +137
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Total Aces and Double Faults, 3+ -323 4+ -133 5+ +150 6+ +280 7+ +480
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Aces - Set 1, Over1.5 -110 Under1.5 -125
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Total Aces and Double Faults, Over6.5 -110 Under6.5 -125
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Total Aces and Double Faults - Set 1, Over1.5 -108 Under1.5 -128
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Total Aces and Double Faults, 6+ -192 7+ -114 8+ +142 9+ +220 10+ +330
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Patricia Maria Tig Aces, Over1.5 +160 Under1.5 -227
Betano, Aces, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Total Aces and Double Faults - Set 1, Over2.5 -120 Under2.5 -114
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Patricia Maria Tig Aces, 1+ -270 2+ +157 3+ +440 4+ +925
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Anna Karolina Schmiedlova Aces, Over1.5 -110 Under1.5 -125
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Anna Karolina Schmiedlova Aces, 1+ -556 2+ -114 3+ +255 4+ +590
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Total Aces, 2+ -400 3+ -133 4+ +167 5+ +335
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Aces & Double Faults, 10+ -200 11+ -133 12+ +105 13+ +140 14+ +187
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Aces & Double Faults - Set 1, Over4.5 -139 Under4.5 +102
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Set With Most Aces (Between First Two), First Set +150 Tie +235 Second set +150
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Aces - Set 1, Over1.5 +150 Under1.5 -213
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Aces & Double Faults, Over10.5 -128 Under10.5 -108
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Patricia Maria Tig Total Aces - Set 1, Over0.5 +122 Under0.5 -167
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Anna Karolina Schmiedlova Total Aces - Set 1, Over0.5 -125 Under0.5 -111
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Most Aces, Patricia Maria Tig +240 Tie +275 Anna Karolina Schmiedlova -161
Betano, Aces, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Patricia Maria Tig Total Aces and Double Faults, Over5.5 +105 Under5.5 -143
