BettingSite, Event Tab, League, Event, Market, Stats
Betano, Break Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Total Service Breaks, Over7.5 -154 Under7.5 +110
Betano, Break Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, First Service Break, Lucrezia Stefanini +118 Kaia Kanepi -167
Betano, Break Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Service Breaks, Over4.5 -133 Under4.5 -102
Betano, Break Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Service Breaks, Over3.5 -143 Under3.5 +105
Betano, Break Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Service Breaks - Set 1, Over1.5 -222 Under1.5 +155
Betano, Break Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Service Breaks - Set 1, Over1.5 -125 Under1.5 -111
Betano, Break Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Most Service Breaks 3way, Lucrezia Stefanini +152 Tie +900 Kaia Kanepi -161
Betano, Break Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Service Breaks - Set 1, Over3.5 +112 Under3.5 -154
Betano, Break Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Most Service Breaks, Lucrezia Stefanini +135 Kaia Kanepi -189
Betano, Break Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Patricia Maria Tig Service Breaks, Over2.5 -111 Under2.5 -125
Betano, Break Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, First Service Break, Patricia Maria Tig +195 Anna Karolina Schmiedlova -286
Betano, Break Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Patricia Maria Tig Service Breaks - Set 1, Over1.5 +142 Under1.5 -200
Betano, Break Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Service Breaks - Set 1, Over3.5 -118 Under3.5 -118
Betano, Break Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Anna Karolina Schmiedlova Service Breaks, Over5.5 -128 Under5.5 -108
Betano, Break Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Anna Karolina Schmiedlova Service Breaks - Set 1, Over2.5 -139 Under2.5 +100
Betano, Break Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Most Service Breaks 3way, Patricia Maria Tig +640 Tie +1300 Anna Karolina Schmiedlova -909
Betano, Break Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Most Service Breaks, Patricia Maria Tig +580 Anna Karolina Schmiedlova -1429
Betano, Break Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Total Service Breaks, Over7.5 -154 Under7.5 +110
Betano, Break Markets, Prague (W), Barbora Palicova - Emiliana Arango, First Service Break, Barbora Palicova +152 Emiliana Arango -213
Betano, Break Markets, Prague (W), Barbora Palicova - Emiliana Arango, Emiliana Arango Service Breaks, Over4.5 -161 Under4.5 +118
Betano, Break Markets, Prague (W), Barbora Palicova - Emiliana Arango, Barbora Palicova Service Breaks, Over3.5 -161 Under3.5 +115
Betano, Break Markets, Prague (W), Barbora Palicova - Emiliana Arango, Emiliana Arango Service Breaks - Set 1, Over2.5 +152 Under2.5 -213
Betano, Break Markets, Prague (W), Barbora Palicova - Emiliana Arango, Barbora Palicova Service Breaks - Set 1, Over1.5 -128 Under1.5 -108
Betano, Break Markets, Prague (W), Barbora Palicova - Emiliana Arango, Most Service Breaks 3way, Barbora Palicova +152 Tie +900 Emiliana Arango -161
Betano, Break Markets, Prague (W), Barbora Palicova - Emiliana Arango, Service Breaks - Set 1, Over3.5 -102 Under3.5 -133
Betano, Break Markets, Prague (W), Barbora Palicova - Emiliana Arango, Most Service Breaks, Barbora Palicova +135 Emiliana Arango -192
Betano, Break Markets, Prague (W), Shuai Zhang - Yue Yuan, Total Service Breaks, Over8.5 -108 Under8.5 -128
Betano, Break Markets, Prague (W), Shuai Zhang - Yue Yuan, First Service Break, Shuai Zhang +115 Yue Yuan -161
Betano, Break Markets, Prague (W), Shuai Zhang - Yue Yuan, Shuai Zhang Service Breaks, Over3.5 -143 Under3.5 +102
Betano, Break Markets, Prague (W), Barbora Palicova - Emiliana Arango, Total Service Breaks, Over8.5 -105 Under8.5 -133
Betano, Break Markets, Prague (W), Shuai Zhang - Yue Yuan, Shuai Zhang Service Breaks - Set 1, Over1.5 -125 Under1.5 -111
Betano, Break Markets, Prague (W), Shuai Zhang - Yue Yuan, Yue Yuan Service Breaks, Over4.5 -189 Under4.5 +135
Betano, Break Markets, Prague (W), Shuai Zhang - Yue Yuan, Yue Yuan Service Breaks - Set 1, Over2.5 +150 Under2.5 -213
Betano, Break Markets, Prague (W), Shuai Zhang - Yue Yuan, Most Service Breaks 3way, Shuai Zhang +187 Tie +925 Yue Yuan -200
Betano, Break Markets, Prague (W), Yanina Wickmayer - Lin Zhu, First Service Break, Yanina Wickmayer -118 Lin Zhu -115
Betano, Break Markets, Prague (W), Shuai Zhang - Yue Yuan, Service Breaks - Set 1, Over3.5 -108 Under3.5 -128
Betano, Break Markets, Prague (W), Shuai Zhang - Yue Yuan, Most Service Breaks, Shuai Zhang +167 Yue Yuan -238
Betano, Break Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Yanina Wickmayer Service Breaks, Over4.5 -118 Under4.5 -118
Betano, Break Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Lin Zhu Service Breaks, Over4.5 -114 Under4.5 -120
Betano, Break Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Yanina Wickmayer Service Breaks - Set 1, Over1.5 -182 Under1.5 +130
Betano, Break Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Lin Zhu Service Breaks - Set 1, Over1.5 -175 Under1.5 +125
Betano, Break Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Service Breaks - Set 1, Over3.5 -102 Under3.5 -133
Betano, Break Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Most Service Breaks, Yanina Wickmayer -120 Lin Zhu -114
Betano, Break Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Most Service Breaks 3way, Yanina Wickmayer -105 Tie +900 Lin Zhu +100
Betano, Break Markets, Prague (W), Alize Cornet - Lucie Havlickova, Alize Cornet Service Breaks, Over5.5 -286 Under5.5 +200
Betano, Break Markets, Prague (W), Alize Cornet - Lucie Havlickova, Total Service Breaks, Over8.5 +162 Under8.5 -222
Betano, Break Markets, Prague (W), Alize Cornet - Lucie Havlickova, Service Breaks - Set 2, Over4.5 +172 Under4.5 -238
Betano, Break Markets, Prague (W), Alize Cornet - Lucie Havlickova, Lucie Havlickova Service Breaks, Over2.5 +147 Under2.5 -200
Betano, Break Markets, Prague (W), Alize Cornet - Lucie Havlickova, Most Service Breaks 3way, Alize Cornet -14286 Tie +1400 Lucie Havlickova +1700
Betano, Break Markets, Prague (W), Gabriela Andrea Knutson - Tereza Martincova, First Service Break, Gabriela Andrea Knutson +112 Tereza Martincova -154
Betano, Break Markets, Prague (W), Alize Cornet - Lucie Havlickova, Lucie Havlickova Service Breaks - Set 2, Over1.5 +147 Under1.5 -200
Betano, Break Markets, Prague (W), Gabriela Andrea Knutson - Tereza Martincova, Total Service Breaks, Over7.5 -133 Under7.5 -102
Betano, Break Markets, Prague (W), Alize Cornet - Lucie Havlickova, Alize Cornet Service Breaks - Set 2, Over2.5 -227 Under2.5 +165
Betano, Break Markets, Prague (W), Gabriela Andrea Knutson - Tereza Martincova, Gabriela Andrea Knutson Service Breaks, Over3.5 -125 Under3.5 -110
Betano, Break Markets, Prague (W), Gabriela Andrea Knutson - Tereza Martincova, Service Breaks - Set 1, Over3.5 +120 Under3.5 -167
Betano, Break Markets, Prague (W), Gabriela Andrea Knutson - Tereza Martincova, Tereza Martincova Service Breaks, Over4.5 -133 Under4.5 -102
