BettingSite, Event Tab, League, Event, Market, Stats
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Double Faults, 6+ -189 7+ -110 8+ +150 9+ +230 10+ +350 11+ +510 12+ +725 13+ +975
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Double Faults, Over2.5 -167 Under2.5 +122
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Double Faults, 2+ -556 3+ -182 4+ +127 5+ +260 6+ +480 7+ +800
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Double Faults, Over3.5 +110 Under3.5 -154
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Double Faults, Over6.5 -105 Under6.5 -133
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Double Faults - Set 1, Over2.5 -120 Under2.5 -115
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Total Double Faults - Set 1, Over1.5 +135 Under1.5 -189
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Total Double Faults, 0-1 +2500 2-3 +480 4-5 +240 6-7 +235 8-9 +345 10-11 +630 12-13 +1350 14+ +2300
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Race to 2 Double Faults, Lucrezia Stefanini -110 Kaia Kanepi -125 Neither +1200
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Double Faults, 3+ -213 4+ +105 5+ +205 6+ +380 7+ +640 8+ +1000
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Race to 3 Double Faults, Lucrezia Stefanini +127 Kaia Kanepi +102 Neither +350
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Race to 5 Double Faults, Lucrezia Stefanini +320 Kaia Kanepi +240 Neither -167
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Race to 7 Double Faults, Lucrezia Stefanini +800 Kaia Kanepi +570 Neither -909
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Race to 6 Double Faults, Lucrezia Stefanini +520 Kaia Kanepi +380 Neither -385
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Race to 8 Double Faults, Lucrezia Stefanini +1050 Kaia Kanepi +750 Neither -2000
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Most Double Faults, Lucrezia Stefanini +125 Tie +380 Kaia Kanepi -102
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set With Most Double Faults (Between First Two), First Set +122 Tie +420 Second set +122
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, First Double Fault, Lucrezia Stefanini -118 Kaia Kanepi -115
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Most Aces or Most Double Faults, Most Aces +345 Tie +620 Most Double Faults -345
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Most Aces or Most Double Faults - Set 2, Most Aces +275 Tie +345 Most Double Faults -182
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Race to 4 Double Faults, Lucrezia Stefanini +195 Kaia Kanepi +152 Neither +135
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Most Aces or Most Double Faults - Set 1, Most Aces +275 Tie +345 Most Double Faults -182
Betano, Double Faults, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Double Faults, 7+ -263 8+ -161 9+ -102 10+ +142 11+ +205 12+ +280 13+ +380 14+ +500
Betano, Double Faults, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Double Faults, Over8.5 +100 Under8.5 -139
Betano, Double Faults, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Total Double Faults - Set 1, Over1.5 +122 Under1.5 -167
Betano, Double Faults, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Patricia Maria Tig Double Faults, Over4.5 +120 Under4.5 -167
Betano, Double Faults, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Patricia Maria Tig Double Faults, 3+ -455 4+ -175 5+ +115 6+ +220 7+ +380 8+ +620
