Betano, Duration Markets, Lausanne (W), Mirra Andreeva - Anna Bondar, Duration (Set 1), Over40.5, -118, Under40.5, -118
Betano, Duration Markets, Lausanne (W), Viktorija Golubic - Alize Cornet, Duration, Over100.5, -118, Under100.5, -118
Betano, Duration Markets, Lausanne (W), Mirra Andreeva - Anna Bondar, Duration, Over89.5, -118, Under89.5, -118
Betano, Duration Markets, Lausanne (W), Viktorija Golubic - Alize Cornet, Duration (Set 1), Over42.5, -118, Under42.5, -118
Betano, Duration Markets, Hamburg (W), Yulia Putintseva - Jule Niemeier, Duration, Over109.5, -118, Under109.5, -118
Betano, Duration Markets, Hamburg (W), Yulia Putintseva - Jule Niemeier, Duration (Set 1), Over43.5, -118, Under43.5, -118
Betano, Duration Markets, Warsaw (W), Yanina Wickmayer - Tereza Martincova, Duration (Set 1), Over43.5, -118, Under43.5, -118
Betano, Duration Markets, Warsaw (W), Yanina Wickmayer - Tereza Martincova, Duration, Over109.5, -118, Under109.5, -118
Betano, Duration Markets, Warsaw (W), Laura Siegemund - Lin Zhu, Duration (Set 1), Over43.5, -118, Under43.5, -118
Betano, Duration Markets, Warsaw (W), Laura Siegemund - Lin Zhu, Duration, Over109.5, -118, Under109.5, -118
Betano, Duration Markets, Warsaw (W), Lucrezia Stefanini - Jodie Anna Burrage, Duration (Set 1), Over43.5, -118, Under43.5, -118
Betano, Duration Markets, Warsaw (W), Lucrezia Stefanini - Jodie Anna Burrage, Duration, Over109.5, -118, Under109.5, -118
