BettingSite, Event Tab, League, Event, Market, Stats
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Clara Tauson +600
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Tereza Martincova +1400
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Heather Watson +1400
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Xiyu Wang +1200
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Kaia Kanepi +1400
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Barbora Strycova +1400
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Jule Niemeier +1600
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Yanina Wickmayer +1600
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Kateryna Baindl +1400
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Yue Yuan +1900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Lin Zhu +2900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Viktoria Hruncakova +1900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Jaqueline Adina Cristian +2900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Nao Hibino +2900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Linda Noskova +500
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Shuai Zhang +4900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Tamara Korpatsch +2900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Emiliana Arango +5900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Lucrezia Stefanini +2900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Barbora Palicova +9900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Anna-Karolina Schmiedlova +1600
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Alize Cornet +700
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Patricia Maria Tig +9900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Gabriela Knutson +9900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Ankita Raina +9900
Betano, Futures, Prague (W) - Futures, Tournament Specials, Futures, Elvina Kalieva +9900
