BettingSite, Event Tab, League, Event, Market, Stats
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over14.5 -6667
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over15.5 -2000
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under14.5 +950
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under16.5 +450
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over17.5 -476
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under15.5 +700
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over18.5 -294
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under17.5 +295
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over19.5 -213
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under18.5 +200
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over20.5 -154
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under19.5 +150
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over21.5 -125
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under20.5 +112
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under21.5 -110
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over16.5 -909
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under22.5 -139
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over23.5 +118
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under23.5 -161
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over25.5 +150
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over24.5 +130
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under24.5 -182
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under26.5 -263
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under25.5 -213
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over26.5 +182
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over22.5 +100
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under28.5 -417
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over27.5 +215
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under27.5 -323
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over29.5 +340
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under29.5 -588
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under30.5 -833
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over30.5 +430
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under31.5 -1250
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over31.5 +560
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under32.5 -2000
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over33.5 +825
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over32.5 +700
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Lucrezia Stefanini and Over14.5 +127
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Under33.5 -3333
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Kaia Kanepi and Over14.5 -175
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Lucrezia Stefanini and Under14.5 +4900
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Kaia Kanepi and Under14.5 +2400
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Lucrezia Stefanini and Over15.5 +135
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Lucrezia Stefanini and Under15.5 +2800
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Games, Over28.5 +270
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Kaia Kanepi and Over15.5 -154
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Lucrezia Stefanini and Under16.5 +1750
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Kaia Kanepi and Over16.5 -128
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Kaia Kanepi and Under15.5 +1300
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Lucrezia Stefanini and Over16.5 +147
Betano, Games Over/Under, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Winner and Total Games, Lucrezia Stefanini and Under17.5 +1075
