BettingSite, Event Tab, League, Event, Market, Stats
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Tie Breaks, Over0.5 +230
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Tie Breaks, Under0.5 -323
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Tie Breaks, Under1.5 -5000
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Double Result Set and Match, Lucrezia Stefanini to win first set and match +192
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Double Result Set and Match, Lucrezia Stefanini to win first set and lose match +620
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Tie Breaks, Over1.5 +1050
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Double Result Set and Match, Kaia Kanepi to win first set and lose match +775
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Double Result Set and Match, Kaia Kanepi to win first set and match -115
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Win from behind (sets), Yes +620
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Win from behind (sets), No -1250
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Lucrezia Stefanini Win from behind (sets), Yes +775
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, (Lucrezia Stefanini) First Service Game Winner, Lucrezia Stefanini -175
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, (Kaia Kanepi) First Service Game Winner, Kaia Kanepi -238
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, (Lucrezia Stefanini) First Service Game Winner, Kaia Kanepi +127
Betano, Other props, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Kaia Kanepi Win from behind (sets), No -1000
