Betano, Service Markets, Lausanne (W), Viktorija Golubic - Alize Cornet, Viktorija Golubic First Serve In Percentage (%), Over67.5, -118, Under67.5, -118
Betano, Service Markets, Lausanne (W), Viktorija Golubic - Alize Cornet, Alize Cornet First Serve In Percentage (%), Over66.5, -118, Under66.5, -118
Betano, Service Markets, Lausanne (W), Mirra Andreeva - Anna Bondar, Mirra Andreeva First Serve In Percentage (%), Over63.5, -118, Under63.5, -118
Betano, Service Markets, Lausanne (W), Mirra Andreeva - Anna Bondar, Anna Bondar First Serve In Percentage (%), Over60.5, -118, Under60.5, -118
Betano, Service Markets, Hamburg (W), Yulia Putintseva - Jule Niemeier, Yulia Putintseva First Serve In Percentage (%), Over71.5, -118, Under71.5, -118
Betano, Service Markets, Hamburg (W), Yulia Putintseva - Jule Niemeier, Jule Niemeier First Serve In Percentage (%), Over55.5, -118, Under55.5, -118
Betano, Service Markets, Warsaw (W), Laura Siegemund - Lin Zhu, Laura Siegemund First Serve In Percentage (%), Over73.5, -118, Under73.5, -118
Betano, Service Markets, Warsaw (W), Laura Siegemund - Lin Zhu, Lin Zhu First Serve In Percentage (%), Over65.5, -118, Under65.5, -118
Betano, Service Markets, Warsaw (W), Lucrezia Stefanini - Jodie Anna Burrage, Lucrezia Stefanini First Serve In Percentage (%), Over72.5, -118, Under72.5, -118
Betano, Service Markets, Warsaw (W), Yanina Wickmayer - Tereza Martincova, Tereza Martincova First Serve In Percentage (%), Over72.5, -118, Under72.5, -118
Betano, Service Markets, Warsaw (W), Lucrezia Stefanini - Jodie Anna Burrage, Jodie Anna Burrage First Serve In Percentage (%), Over59.5, -118, Under59.5, -118
Betano, Service Markets, Warsaw (W), Yanina Wickmayer - Tereza Martincova, Yanina Wickmayer First Serve In Percentage (%), Over63.5, -118, Under63.5, -118
