BettingSite, Event Tab, League, Event, Market, Stats
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner (Set 1), Kaia Kanepi -161
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner (Set 2), Kaia Kanepi -161
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner (Set 1), Lucrezia Stefanini +122
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner (Set 2), Lucrezia Stefanini +122
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Betting, 2 - 1 +375
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Betting, 2 - 0 +320
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Betting, 1 - 2 +290
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Setcast, Kaia Kanepi - Kaia Kanepi +140
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Setcast, Lucrezia Stefanini - Lucrezia Stefanini +320
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Setcast, Kaia Kanepi - Lucrezia Stefanini - Kaia Kanepi +620
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Setcast, Lucrezia Stefanini - Kaia Kanepi - Lucrezia Stefanini +775
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Setcast, Lucrezia Stefanini - Kaia Kanepi - Kaia Kanepi +620
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Setcast, Kaia Kanepi - Lucrezia Stefanini - Lucrezia Stefanini +775
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Match Handicap (Set), Kaia Kanepi+1.5 -455
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Match Handicap (Set), Lucrezia Stefanini-1.5 +320
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Match Handicap (Set), Kaia Kanepi-1.5 +140
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Match Handicap (Set), Lucrezia Stefanini+1.5 -189
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Number of Sets, 2 -167
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Betting, 0 - 2 +140
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 1), Lucrezia Stefanini and Over8.5 +195
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 1), Lucrezia Stefanini and Under8.5 +610
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 1), Kaia Kanepi and Under8.5 +320
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Number of Sets, 3 +125
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 1), Lucrezia Stefanini and Over9.5 +330
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 1), Lucrezia Stefanini and Under9.5 +305
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 1), Kaia Kanepi and Under9.5 +177
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 2), Lucrezia Stefanini and Over8.5 +195
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 2), Kaia Kanepi and Over8.5 +137
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 2), Kaia Kanepi and Under8.5 +320
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 2), Lucrezia Stefanini and Over9.5 +315
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 2), Lucrezia Stefanini and Under8.5 +610
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 1), Kaia Kanepi and Over9.5 +235
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 2), Lucrezia Stefanini and Under9.5 +315
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 2), Kaia Kanepi and Under9.5 +172
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 1), Lucrezia Stefanini+1.5 -105
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 1), Kaia Kanepi and Over8.5 +137
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Winner & Set Games (Set 2), Kaia Kanepi and Over9.5 +245
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 1), Kaia Kanepi+1.5 -200
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 1), Lucrezia Stefanini-1.5 +150
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 2), Lucrezia Stefanini+1.5 -105
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 2), Kaia Kanepi-1.5 -125
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 2), Lucrezia Stefanini-1.5 +150
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 2), Kaia Kanepi+1.5 -200
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Under6.5 +850
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 1), Kaia Kanepi-1.5 -125
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Under7.5 +400
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Over6.5 -4000
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Under8.5 +175
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Over7.5 -769
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Over10.5 +260
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Under9.5 -133
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Over8.5 -250
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Over12.5 +460
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Under10.5 -400
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Over6.5 -4000
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Under12.5 -909
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 1), Over9.5 -102
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Under6.5 +850
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Over8.5 -250
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Under7.5 +400
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Over7.5 -769
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Under8.5 +175
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Over10.5 +260
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Under10.5 -400
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Over12.5 +460
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Over9.5 +100
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Under9.5 -139
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Total Games (Set 2), Under12.5 -909
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Games Odd/Even (Set 1), Even -143
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Games Odd/Even (Set 2), Even -143
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Games Odd/Even (Set 1), Odd +102
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 6 - 4 +750
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Games Odd/Even (Set 2), Odd +102
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 7 - 6 +1250
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 6 - 2 +1150
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 7 - 5 +1450
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 6 - 0 +4900
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 6 - 3 +725
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 6 - 1 +1700
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 1 - 6 +1100
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 2 - 6 +630
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 6 - 7 +1100
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 5 - 7 +1200
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 0 - 6 +2700
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 2), 6 - 4 +700
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 2), 6 - 3 +775
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 2), 6 - 2 +1100
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 2), 7 - 6 +1250
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 2), 7 - 5 +1450
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 4 - 6 +500
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 2), 6 - 1 +1850
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 2), 4 - 6 +530
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 2), 6 - 0 +4900
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 1), 3 - 6 +580
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 2), 1 - 6 +1050
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 2), 6 - 7 +1100
Betano, Set Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Set Score (Set 2), 5 - 7 +1200
