BettingSite, Event Tab, League, Event, Market, Stats
Betano, Spread Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Spread Games, Lucrezia Stefanini-8.5 +1025, Kaia Kanepi+8.5 -10000, Lucrezia Stefanini-7.5 +850, Kaia Kanepi+7.5 -4000, Lucrezia Stefanini-6.5 +610, Kaia Kanepi+6.5 -1429, Lucrezia Stefanini-5.5 +440, Kaia Kanepi+5.5 -833, Lucrezia Stefanini-4.5 +305, Kaia Kanepi+4.5 -500, Lucrezia Stefanini-3.5 +225, Kaia Kanepi+3.5 -345, Lucrezia Stefanini-2.5 +180, Kaia Kanepi+2.5 -263, Lucrezia Stefanini-1.5 +155, Kaia Kanepi+1.5 -222, Lucrezia Stefanini-0.5 +137, Kaia Kanepi+0.5 -192, Lucrezia Stefanini+0.5 +122, Kaia Kanepi-0.5 -167, Lucrezia Stefanini+1.5 +110, Kaia Kanepi-1.5 -154, Lucrezia Stefanini+2.5 -110, Kaia Kanepi-2.5 -125, Lucrezia Stefanini+3.5 -139, Kaia Kanepi-3.5 +100, Lucrezia Stefanini+4.5 -200, Kaia Kanepi-4.5 +142, Lucrezia Stefanini+5.5 -312, Kaia Kanepi-5.5 +210, Lucrezia Stefanini+6.5 -588, Kaia Kanepi-6.5 +340, Lucrezia Stefanini+7.5 -1111, Kaia Kanepi-7.5 +520, Lucrezia Stefanini+8.5 -2500, Kaia Kanepi-8.5 +775, Lucrezia Stefanini+9.5 -10000, Kaia Kanepi-9.5 +975
Betano, Spread Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Match Handicap (Set), Lucrezia Stefanini-1.5 +320, Kaia Kanepi+1.5 -455, Lucrezia Stefanini+1.5 -189, Kaia Kanepi-1.5 +140
Betano, Spread Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 1), Lucrezia Stefanini+1.5 -105, Kaia Kanepi-1.5 -125
Betano, Spread Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 2), Lucrezia Stefanini+1.5 -105, Kaia Kanepi-1.5 -125
Betano, Spread Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Spread Games, Patricia Maria Tig-5.5 +1000, Anna Karolina Schmiedlova+5.5 -10000, Patricia Maria Tig-4.5 +875, Anna Karolina Schmiedlova+4.5 -5000, Patricia Maria Tig-3.5 +775, Anna Karolina Schmiedlova+3.5 -2500, Patricia Maria Tig-2.5 +680, Anna Karolina Schmiedlova+2.5 -2000, Patricia Maria Tig-1.5 +610, Anna Karolina Schmiedlova+1.5 -1667, Patricia Maria Tig-0.5 +560, Anna Karolina Schmiedlova+0.5 -1250, Patricia Maria Tig+0.5 +510, Anna Karolina Schmiedlova-0.5 -1111, Patricia Maria Tig+1.5 +450, Anna Karolina Schmiedlova-1.5 -909, Patricia Maria Tig+2.5 +380, Anna Karolina Schmiedlova-2.5 -667, Patricia Maria Tig+3.5 +295, Anna Karolina Schmiedlova-3.5 -476, Patricia Maria Tig+4.5 +200, Anna Karolina Schmiedlova-4.5 -294, Patricia Maria Tig+5.5 +130, Anna Karolina Schmiedlova-5.5 -182, Patricia Maria Tig+6.5 -128, Anna Karolina Schmiedlova-6.5 -108, Patricia Maria Tig+7.5 -227, Anna Karolina Schmiedlova-7.5 +160, Patricia Maria Tig+8.5 -455, Anna Karolina Schmiedlova-8.5 +285, Patricia Maria Tig+9.5 -1000, Anna Karolina Schmiedlova-9.5 +490, Patricia Maria Tig+10.5 -3333, Anna Karolina Schmiedlova-10.5 +800
Betano, Spread Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 1), Lucrezia Stefanini-1.5 +150, Kaia Kanepi+1.5 -200
Betano, Spread Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Match Handicap (Set), Patricia Maria Tig-1.5 +1550, Anna Karolina Schmiedlova+1.5 -3333, Patricia Maria Tig+1.5 +195, Anna Karolina Schmiedlova-1.5 -286
Betano, Spread Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Game Spread  (Set 1), Patricia Maria Tig+3.5 -154, Anna Karolina Schmiedlova-3.5 +115
Betano, Spread Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Game Spread  (Set 2), Patricia Maria Tig+3.5 -154, Anna Karolina Schmiedlova-3.5 +115
Betano, Spread Markets, Prague (W), Lucrezia Stefanini - Kaia Kanepi, Game Spread  (Set 2), Lucrezia Stefanini-1.5 +150, Kaia Kanepi+1.5 -200
Betano, Spread Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Game Spread  (Set 1), Patricia Maria Tig+2.5 +127, Anna Karolina Schmiedlova-2.5 -167
Betano, Spread Markets, Prague (W), Barbora Palicova - Emiliana Arango, Spread Games, Barbora Palicova-8.5 +975, Emiliana Arango+8.5 -6667, Barbora Palicova-7.5 +825, Emiliana Arango+7.5 -3333, Barbora Palicova-6.5 +560, Emiliana Arango+6.5 -1250, Barbora Palicova-5.5 +420, Emiliana Arango+5.5 -769, Barbora Palicova-4.5 +280, Emiliana Arango+4.5 -435, Barbora Palicova-3.5 +215, Emiliana Arango+3.5 -323, Barbora Palicova-2.5 +167, Emiliana Arango+2.5 -238, Barbora Palicova-1.5 +150, Emiliana Arango+1.5 -213, Barbora Palicova-0.5 +130, Emiliana Arango+0.5 -182, Barbora Palicova+0.5 +115, Emiliana Arango-0.5 -161, Barbora Palicova+1.5 +102, Emiliana Arango-1.5 -143, Barbora Palicova+2.5 -115, Emiliana Arango-2.5 -120, Barbora Palicova+3.5 -143, Emiliana Arango-3.5 +105, Barbora Palicova+4.5 -222, Emiliana Arango-4.5 +155, Barbora Palicova+5.5 -323, Emiliana Arango-5.5 +215, Barbora Palicova+6.5 -625, Emiliana Arango-6.5 +360, Barbora Palicova+7.5 -1111, Emiliana Arango-7.5 +530, Barbora Palicova+8.5 -3333, Emiliana Arango-8.5 +800, Barbora Palicova+9.5 -10000, Emiliana Arango-9.5 +975
Betano, Spread Markets, Prague (W), Patricia Maria Tig - Anna Karolina Schmiedlova, Game Spread  (Set 2), Patricia Maria Tig+2.5 +127, Anna Karolina Schmiedlova-2.5 -167
Betano, Spread Markets, Prague (W), Barbora Palicova - Emiliana Arango, Match Handicap (Set), Barbora Palicova-1.5 +305, Emiliana Arango+1.5 -435, Barbora Palicova+1.5 -192, Emiliana Arango-1.5 +147
Betano, Spread Markets, Prague (W), Barbora Palicova - Emiliana Arango, Game Spread  (Set 1), Barbora Palicova+1.5 -108, Emiliana Arango-1.5 -122
Betano, Spread Markets, Prague (W), Barbora Palicova - Emiliana Arango, Game Spread  (Set 2), Barbora Palicova+1.5 -108, Emiliana Arango-1.5 -122
Betano, Spread Markets, Prague (W), Barbora Palicova - Emiliana Arango, Game Spread  (Set 2), Barbora Palicova-1.5 +145, Emiliana Arango+1.5 -200
Betano, Spread Markets, Prague (W), Shuai Zhang - Yue Yuan, Spread Games, Shuai Zhang-7.5 +900, Yue Yuan+7.5 -5000, Shuai Zhang-6.5 +700, Yue Yuan+6.5 -2000, Shuai Zhang-5.5 +510, Yue Yuan+5.5 -1111, Shuai Zhang-4.5 +370, Yue Yuan+4.5 -667, Shuai Zhang-3.5 +275, Yue Yuan+3.5 -435, Shuai Zhang-2.5 +225, Yue Yuan+2.5 -333, Shuai Zhang-1.5 +192, Yue Yuan+1.5 -286, Shuai Zhang-0.5 +172, Yue Yuan+0.5 -250, Shuai Zhang+0.5 +152, Yue Yuan-0.5 -213, Shuai Zhang+1.5 +135, Yue Yuan-1.5 -189, Shuai Zhang+2.5 +115, Yue Yuan-2.5 -161, Shuai Zhang+3.5 -111, Yue Yuan-3.5 -125, Shuai Zhang+4.5 -161, Yue Yuan-4.5 +115, Shuai Zhang+5.5 -250, Yue Yuan-5.5 +172, Shuai Zhang+6.5 -417, Yue Yuan-6.5 +270, Shuai Zhang+7.5 -833, Yue Yuan-7.5 +430, Shuai Zhang+8.5 -2000, Yue Yuan-8.5 +670, Shuai Zhang+9.5 -5000, Yue Yuan-9.5 +925
