Betting Site, Sport, Fight, Time, Over, Under
Draft Kings, Boxing, Josh Kelly vs Gabriel Alberto Corzo, Today 5:00PM, Over 10.5−125, Under 10.5−110
Draft Kings, Boxing, Justin Cardona vs Jose Perez, Today 7:00PM, Over 6.5−700, Under 6.5+400
Draft Kings, Boxing, Quinton Randall vs Willie Jones, Today 7:00PM, Over 6.5−575, Under 6.5+350
Draft Kings, Boxing, Jermaine Franklin vs Isaac Munoz Gutierrez, Today 9:00PM, Over 8.5−130, Under 8.5−105
Draft Kings, Boxing, Andy Cruz vs Juan Carlos Burgos, Today 10:00PM, Over 8.5−270, Under 8.5+190
Draft Kings, Boxing, Alycia Baumgardner vs Christina Linardatou, Today 11:00PM, Over 8.5−1000, Under 8.5+500
Draft Kings, Boxing, Elvis Rodriguez vs Viktor Postol, Today 11:00PM, Over 8.5−265, Under 8.5+185
Draft Kings, Boxing, Frank Martin vs Artem Harutyunyan, Tomorrow 12:00AM, Over 9.5−120, Under 9.5−110
Draft Kings, Boxing, Stephen Fulton vs Naoya Inoue, TUE 25th JUL 7:00AM, Over 10.5−135, Under 10.5−105
Draft Kings, Boxing, Errol Spence Jr vs Terence Crawford, SAT 29th JUL 11:00PM, Over 10.5−270, Under 10.5+190
