No House Advantage, P.  Mahomes ,  KC ,  9/07 8:23 PM EDT,  36.5  passing tds  ,  4775.5  passing yards  
No House Advantage, J.  Allen ,  BUF ,  9/07 8:23 PM EDT,  32.5  passing tds  ,  4325.5  passing yards  ,  550.5  rushing yards  ,  6.5  rushing tds  
No House Advantage, J.  Burrow ,  CIN ,  9/07 8:23 PM EDT,  33.5  passing tds  ,  4400.5  passing yards  
No House Advantage, J.  Herbert ,  LAC ,  9/07 8:23 PM EDT,  29.5  passing tds  ,  4500.5  passing yards  
No House Advantage, A.  Rodgers ,  NYJ ,  9/07 8:23 PM EDT,  27.5  passing tds  ,  3950.5  passing yards  
No House Advantage, J.  Hurts ,  PHI ,  9/07 8:23 PM EDT,  22.5  passing tds  ,  3650.5  passing yards  ,  700.5  rushing yards  ,  11.5  rushing tds  
No House Advantage, L.  Jackson ,  BAL ,  9/07 8:23 PM EDT,  22.5  passing tds  ,  3575.5  passing yards  ,  735.5  rushing yards  ,  6.0  rushing tds  
No House Advantage, D.  Prescott ,  DAL ,  9/07 8:23 PM EDT,  26.5  passing tds  ,  4075.5  passing yards  
No House Advantage, T.  Lawrence ,  JAX ,  9/07 8:23 PM EDT,  26.5  passing tds  ,  4025.5  passing yards  
No House Advantage, J.  Fields ,  CHI ,  9/07 8:23 PM EDT,  18.5  passing tds  ,  2900.5  passing yards  ,  825.5  rushing yards  ,  6.5  rushing tds  
No House Advantage, K.  Cousins ,  MIN ,  9/07 8:23 PM EDT,  28.5  passing tds  ,  4325.5  passing yards  
No House Advantage, T.  Tagovailoa ,  MIA ,  9/07 8:23 PM EDT,  26.5  passing tds  ,  3900.5  passing yards  
No House Advantage, R.  Wilson ,  DEN ,  9/07 8:23 PM EDT,  24.5  passing tds  ,  3725.5  passing yards  
No House Advantage, D.  Watson ,  CLE ,  9/07 8:23 PM EDT,  25.5  passing tds  ,  3575.5  passing yards  
No House Advantage, G.  Smith ,  SEA ,  9/07 8:23 PM EDT,  26.5  passing tds  ,  3875.5  passing yards  
No House Advantage, D.  Carr ,  NO ,  9/07 8:23 PM EDT,  23.5  passing tds  ,  3800.5  passing yards  
No House Advantage, J.  Goff ,  DET ,  9/07 8:23 PM EDT,  25.5  passing tds  ,  3950.5  passing yards  
No House Advantage, D.  Jones ,  NYG ,  9/07 8:23 PM EDT,  17.5  passing tds  ,  3250.5  passing yards  ,  575.5  rushing yards  
No House Advantage, M.  Jones ,  NE ,  9/07 8:23 PM EDT,  19.5  passing tds  ,  3350.5  passing yards  
No House Advantage, J.  Love ,  GB ,  9/07 8:23 PM EDT,  21.5  passing tds  ,  3325.5  passing yards  
No House Advantage, B.  Young ,  CAR ,  9/07 8:23 PM EDT,  22.5  passing tds  ,  3450.5  passing yards  
No House Advantage, C.  Stroud ,  HOU ,  9/07 8:23 PM EDT,  20.5  passing tds  ,  3400.5  passing yards  
No House Advantage, A.  Richardson ,  IND ,  9/07 8:23 PM EDT,  2600.5  passing yards  
No House Advantage, K.  Pickett ,  PIT ,  9/07 8:23 PM EDT,  19.5  passing tds  ,  3250.5  passing yards  
No House Advantage, D.  Ridder ,  ATL ,  9/07 8:23 PM EDT,  15.5  passing tds  ,  2550.5  passing yards  
No House Advantage, N.  Chubb ,  CLE ,  9/07 8:23 PM EDT,  8.5  rushing tds  ,  1225.5  rushing yards  
No House Advantage, D.  Henry ,  TEN ,  9/07 8:23 PM EDT,  9.5  rushing tds  ,  1175.5  rushing yards  
No House Advantage, J.  Taylor ,  IND ,  9/07 8:23 PM EDT,  8.5  rushing tds  ,  1200.5  rushing yards  
No House Advantage, J.  Jacobs ,  LV ,  9/07 8:23 PM EDT,  1050.5  rushing yards  
No House Advantage, T.  Pollard ,  DAL ,  9/07 8:23 PM EDT,  8.5  rushing tds  ,  1000.5  rushing yards  
