PrizePicks, CFL, Thu, Jul 20 8:30 PM, Kevin Brown, 48.5, Rush Yards
PrizePicks, CFL, Thu, Jul 20 8:30 PM, Brady Oliveira, 78.5, Rush Yards
PrizePicks, CFL, Fri, Jul 21 7:30 PM, AJ Ouellette, 73.5, Rush Yards
PrizePicks, CFL, Fri, Jul 21 7:30 PM, James Butler, 58.5, Rush Yards
PrizePicks, CFL, Sat, Jul 22 7:00 PM, Jamal Morrow, 64.5, Rush Yards
PrizePicks, CFL, Sat, Jul 22 7:00 PM, Taquan Mizzell, 60.5, Rush Yards
PrizePicks, CFL, Sun, Jul 23 7:00 PM, Dustin Crum, 73.5, Rush Yards
PrizePicks, CFL, Sun, Jul 23 7:00 PM, Dedrick Mills, 66.5, Rush Yards
PrizePicks, CFL, Thu, Jul 20 8:30 PM, Zach Collaros, 265.5, Pass Yards
PrizePicks, CFL, Fri, Jul 21 7:30 PM, Chad Kelly, 269.5, Pass Yards
PrizePicks, CFL, Fri, Jul 21 7:30 PM, Taylor Powell, 219.5, Pass Yards
PrizePicks, CFL, Sat, Jul 22 7:00 PM, Mason Fine, 233.5, Pass Yards
PrizePicks, CFL, Sat, Jul 22 7:00 PM, Vernon Adams Jr., 257.5, Pass Yards
PrizePicks, CFL, Sun, Jul 23 7:00 PM, Dustin Crum, 207.5, Pass Yards
PrizePicks, CFL, Sun, Jul 23 7:00 PM, Jake Maier, 255.5, Pass Yards
PrizePicks, CFL, Thu, Jul 20 8:30 PM, Steven Dunbar, 53.5, Receiving Yards
PrizePicks, CFL, Thu, Jul 20 8:30 PM, Dalton Schoen, 68.5, Receiving Yards
PrizePicks, CFL, Thu, Jul 20 8:30 PM, Maurice Ffrench, 54.5, Receiving Yards
PrizePicks, CFL, Thu, Jul 20 8:30 PM, Nic Demski, 50.5, Receiving Yards
PrizePicks, CFL, Fri, Jul 21 7:30 PM, Kurleigh Gittens Jr., 46.5, Receiving Yards
PrizePicks, CFL, Fri, Jul 21 7:30 PM, Tim White, 69.5, Receiving Yards
PrizePicks, CFL, Fri, Jul 21 7:30 PM, DaVaris Daniels, 46.5, Receiving Yards
PrizePicks, CFL, Fri, Jul 21 7:30 PM, D'haquille Williams, 62.5, Receiving Yards
PrizePicks, CFL, Fri, Jul 21 7:30 PM, Damonte Coxie, 55.5, Receiving Yards
PrizePicks, CFL, Fri, Jul 21 7:30 PM, Terry Godwin II, 45.5, Receiving Yards
PrizePicks, CFL, Sat, Jul 22 7:00 PM, Lucky Whitehead, 49.5, Receiving Yards
PrizePicks, CFL, Sat, Jul 22 7:00 PM, Tevin Jones, 64.5, Receiving Yards
PrizePicks, CFL, Sat, Jul 22 7:00 PM, Dominique Rhymes, 66.5, Receiving Yards
PrizePicks, CFL, Sat, Jul 22 7:00 PM, Shawn Bane Jr., 55.5, Receiving Yards
PrizePicks, CFL, Sat, Jul 22 7:00 PM, Keon Hatcher, 66.5, Receiving Yards
PrizePicks, CFL, Sun, Jul 23 7:00 PM, Jaelon Acklin, 52.5, Receiving Yards
PrizePicks, CFL, Sun, Jul 23 7:00 PM, Tre Odoms-Dukes, 59.5, Receiving Yards
PrizePicks, CFL, Sun, Jul 23 7:00 PM, Nate Behar, 40.5, Receiving Yards
PrizePicks, CFL, Sun, Jul 23 7:00 PM, Reggie Begelton, 65.5, Receiving Yards
