BettingSite, Date, PlayerName, Score, ScoreType
PrizePicks, Mon Jul 31 4:00 AM, Cabbi, 40.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 4:00 AM, Lucky, 38.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 4:00 AM, Anlelele, 37.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 4:00 AM, r1nkle, 38.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 4:00 AM, OWNER, 38.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 4:00 AM, cptkurtka023, 36.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:00 AM, ArtFr0st, 37.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:00 AM, zont1x, 37.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:00 AM, donk, 42.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:00 AM, junior, 41.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:00 AM, autimatic, 36.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:00 AM, Jeorge, 34.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, ZywOo, 42.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, flameZ, 37.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, Spinx, 38.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, Magisk, 35.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, apEX, 30.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, Jimpphat, 34.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, frozen, 38.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, xertioN, 34.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, torzsi, 32.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, siuhy, 32.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, device, 41.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, blameF, 39.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, Staehr, 34.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, Buzz, 34.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, b0RUP, 33.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, headtr1ck, 38.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, k0nfig, 37.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, Brollan, 34.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, hampus, 33.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 6:30 AM, REZ, 32.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 7:00 AM, slaxz-, 40.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 7:00 AM, awzek, 37.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 7:00 AM, Spiidi, 35.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 7:00 AM, XELLOW, 36.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 7:00 AM, ragga, 36.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 7:00 AM, BTN, 30.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 9:00 AM, XANTARES, 43.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 9:00 AM, woxic, 37.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 9:00 AM, Wicadia, 36.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 9:00 AM, ewjerkz, 36.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 9:00 AM, story, 38.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 9:00 AM, arrozdoce, 36.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 10:00 AM, REDSTAR, 41.0, MAPS 1-2 Kills
