BettingSite, Date, PlayerName, Score, ScoreType
PrizePicks, Sat, Aug 05 6:10 PM, Asu Almabayev	, 38.5, Significant Strikes
PrizePicks, Sat, Aug 05 6:10 PM, Jake Hadley, 41.5, Significant Strikes
PrizePicks, Sat, Aug 05 6:10 PM, Billy Quarantillo, 72.5, Significant Strikes
PrizePicks, Sat, Aug 05 6:10 PM, Jeremiah Wells, 34.5, Significant Strikes
PrizePicks, Sat, Aug 05 6:10 PM, Kyler Phillips, 77.5, Significant Strikes
PrizePicks, Sat, Aug 05 6:10 PM, Ignacio Bahamondes, 83.5, Significant Strikes
PrizePicks, Sat, Aug 05 6:10 PM, Tanner Boser, 57.5, Significant Strikes
PrizePicks, Sat, Aug 05 6:10 PM, Diego Lopes, 40.5, Significant Strikes
PrizePicks, Sat, Aug 05 6:10 PM, Kennedy Nzechukwu, 58.5, Significant Strikes
PrizePicks, Sat, Aug 05 6:10 PM, Tatiana Suarez, 40.5, Significant Strikes
PrizePicks, Sat, Aug 05 6:10 PM, Cory Sandhagen, 120.5, Significant Strikes
PrizePicks, Sat, Aug 05 6:10 PM, Asu Almabayev	, 12.5, Fight Time (Mins)
PrizePicks, Sat, Aug 05 6:10 PM, Jake Hadley, 12.5, Fight Time (Mins)
PrizePicks, Sat, Aug 05 6:10 PM, Billy Quarantillo, 12.5, Fight Time (Mins)
PrizePicks, Sat, Aug 05 6:10 PM, Jeremiah Wells, 10.0, Fight Time (Mins)
PrizePicks, Sat, Aug 05 6:10 PM, Ignacio Bahamondes, 13.5, Fight Time (Mins)
PrizePicks, Sat, Aug 05 6:10 PM, Diego Lopes, 12.5, Fight Time (Mins)
PrizePicks, Sat, Aug 05 6:10 PM, Kennedy Nzechukwu, 13.5, Fight Time (Mins)
PrizePicks, Sat, Aug 05 6:10 PM, Tatiana Suarez, 10.0, Fight Time (Mins)
PrizePicks, Sat, Aug 05 6:10 PM, Cory Sandhagen, 24.75, Fight Time (Mins)
PrizePicks, Sat, Aug 05 6:10 PM, Asu Almabayev	, 85.5, Fantasy Score
PrizePicks, Sat, Aug 05 6:10 PM, Jake Hadley, 81.5, Fantasy Score
PrizePicks, Sat, Aug 05 6:10 PM, Billy Quarantillo, 96.5, Fantasy Score
PrizePicks, Sat, Aug 05 6:10 PM, Jeremiah Wells, 90.5, Fantasy Score
PrizePicks, Sat, Aug 05 6:10 PM, Kyler Phillips, 91.5, Fantasy Score
PrizePicks, Sat, Aug 05 6:10 PM, Ignacio Bahamondes, 94.5, Fantasy Score
PrizePicks, Sat, Aug 05 6:10 PM, Tanner Boser, 84.5, Fantasy Score
PrizePicks, Sat, Aug 05 6:10 PM, Diego Lopes, 72.5, Fantasy Score
PrizePicks, Sat, Aug 05 6:10 PM, Kennedy Nzechukwu, 81.5, Fantasy Score
PrizePicks, Sat, Aug 05 6:10 PM, Tatiana Suarez, 109.5, Fantasy Score
PrizePicks, Sat, Aug 05 6:10 PM, Cory Sandhagen, 122.5, Fantasy Score
PrizePicks, Sat, Aug 05 6:10 PM, Asu Almabayev	, 2.0, Takedowns
PrizePicks, Sat, Aug 05 6:10 PM, Jeremiah Wells, 1.5, Takedowns
PrizePicks, Sat, Aug 05 6:10 PM, Tatiana Suarez, 2.5, Takedowns
