Betting Site, Date, Player Name, Score, Score Type
PrizePicks, Tue, Oct 24 7:30 PM, Victor Wembanyama, 18.5, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Scoot Henderson, 15.8, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Brandon Miller , 14.3, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Nikola Jokic, 25.6, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Shai Gilgeous-Alexander, 29.9, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Lebron James, 27.1, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Luka Doncic, 30.6, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Giannis Antetokounmpo, 30.4, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Jayson Tatum, 28.7, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Stephen Curry, 28.9, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Bradley Beal, 21.8, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Kristaps Porzingis, 18.9, Points Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Victor Wembanyama, 8.8, Rebounds Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Nikola Jokic, 11.9, Rebounds Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Domantas Sabonis, 12.1, Rebounds Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Lebron James, 7.9, Rebounds Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Luka Doncic, 8.4, Rebounds Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Giannis Antetokounmpo, 11.7, Rebounds Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Clint Capela, 11.1, Rebounds Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Bam Adebayo, 9.4, Rebounds Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Rudy Gobert, 11.6, Rebounds Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Kristaps Porzingis, 8.8, Rebounds Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Trae Young, 9.8, Assists Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Nikola Jokic, 9.2, Assists Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Lebron James, 6.9, Assists Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Luka Doncic, 7.7, Assists Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Darius Garland, 7.7, Assists Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Tyrese Haliburton, 9.7, Assists Per Game AVG
PrizePicks, Tue, Oct 24 7:30 PM, Josh Giddey, 6.3, Assists Per Game AVG
