PrizePicks, PGA, Thu, Jul 20 9:59 AM, Rory McIlroy, 69.0, Strokes
PrizePicks, PGA, Thu, Jul 20 4:47 AM, Scottie Scheffler, 69.0, Strokes
PrizePicks, PGA, Thu, Jul 20 9:59 AM, Jon Rahm, 69.5, Strokes
PrizePicks, PGA, Thu, Jul 20 4:36 AM, Brooks Koepka, 70.0, Strokes
PrizePicks, PGA, Thu, Jul 20 5:09 AM, Rickie Fowler, 70.0, Strokes
PrizePicks, PGA, Thu, Jul 20 4:58 AM, Cameron Smith, 69.5, Strokes
PrizePicks, PGA, Thu, Jul 20 10:21 AM, Phil Mickelson, 72.5, Strokes
PrizePicks, PGA, Thu, Jul 20 4:58 AM, Xander Schauffele, 70.0, Strokes
PrizePicks, PGA, Thu, Jul 20 4:36 AM, Patrick Cantlay, 69.5, Strokes
PrizePicks, PGA, Thu, Jul 20 9:48 AM, Viktor Hovland, 70.0, Strokes
PrizePicks, PGA, Thu, Jul 20 10:10 AM, Tyrrell Hatton, 70.0, Strokes
PrizePicks, PGA, Thu, Jul 20 5:20 AM, Bryson DeChambeau, 70.5, Strokes
PrizePicks, PGA, Thu, Jul 20 4:47 AM, Tommy Fleetwood, 70.0, Strokes
PrizePicks, PGA, Thu, Jul 20 4:03 AM, Jordan Spieth, 70.5, Strokes
PrizePicks, PGA, Thu, Jul 20 8:26 AM, Dustin Johnson, 70.5, Strokes
PrizePicks, PGA, Thu, Jul 20 10:10 AM, Collin Morikawa, 70.5, Strokes
PrizePicks, PGA, Thu, Jul 20 4:03 AM, Matt Fitzpatrick, 71.0, Strokes
PrizePicks, PGA, Thu, Jul 20 5:09 AM, Shane Lowry, 70.5, Strokes
PrizePicks, PGA, Thu, Jul 20 9:48 AM, Tony Finau, 70.5, Strokes
PrizePicks, PGA, Thu, Jul 20 3:47 AM, Sam Burns, 71.0, Strokes
PrizePicks, PGA, Thu, Jul 20 9:59 AM, Justin Rose, 71.0, Strokes
PrizePicks, PGA, Thu, Jul 20 8:04 AM, Tom Kim, 71.0, Strokes
PrizePicks, PGA, Thu, Jul 20 5:09 AM, Robert Macintyre, 71.5, Strokes
PrizePicks, PGA, Thu, Jul 20 4:14 AM, Talor Gooch, 71.0, Strokes
PrizePicks, PGA, Thu, Jul 20 7:42 AM, Min Woo Lee, 71.0, Strokes
PrizePicks, PGA, Thu, Jul 20 4:47 AM, Adam Scott, 71.0, Strokes
PrizePicks, PGA, Thu, Jul 20 9:37 AM, Sungjae Im, 71.0, Strokes
PrizePicks, PGA, Thu, Jul 20 9:37 AM, Keegan Bradley, 71.0, Strokes
PrizePicks, PGA, Thu, Jul 20 4:36 AM, Hideki Matsuyama, 70.5, Strokes
PrizePicks, PGA, Thu, Jul 20 9:37 AM, Joaquin Niemann, 71.0, Strokes
PrizePicks, PGA, Thu, Jul 20 10:10 AM, Max Homa, 71.0, Strokes
