PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Ada Hegerberg, 0.5, Goals
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Sam Kerr, 0.5, Goals
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Christine Sinclair, 0.5, Goals
PrizePicks, SOCCER, Fri, Jul 21 8:00 PM, Lionel Messi, 0.5, Goals
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Ada Hegerberg, 3.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Hannah Wilkinson, 1.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Anna Jøsendal, 2.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Indiah-Paige Riley, 1.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Emilie Haavi, 2.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Betsy Hassett, 0.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Frida Maanum, 2.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Malia Steinmetz, 0.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Guro Reiten, 2.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Jacqui Hand, 1.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Maren Mjelde, 0.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Caroline Graham Hansen, 2.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Anja Sønstevold, 0.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Tuva Hansen, 0.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Sam Kerr, 4.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Caitlin Foord, 3.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Katie McCabe, 1.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Hayley Raso, 2.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Megan Connolly, 0.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Cortnee Vine, 1.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Heather Payne, 0.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Kyra Cooney-Cross, 1.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Katrina Gorry, 2.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 PM, Gonzalo Sosa, 3.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 PM, Patricio Rubio, 2.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 PM, Gonzalo Ríos, 1.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 PM, Manuel Rivera, 1.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 6:00 PM, Matías Sepúlveda, 2.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Christine Sinclair, 3.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Asisat Oshoala, 2.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Jordyn Huitema, 2.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Rasheedat Ajibade, 1.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Adriana Leon, 2.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Michelle Alozie, 0.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Jessie Fleming, 1.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Toni Payne, 0.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Kadeisha Buchanan, 0.5, Shots
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Onyi Echegini, 1.0, Shots
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Ashley Lawrence, 1.0, Shots
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Romario Balde, 3.0, Shots
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Hong Gui, 1.5, Shots
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Shangyuan Wang, 0.5, Shots
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, David Puclin, 1.0, Shots
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Yihao Zhong, 1.0, Shots
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Wu Lei, 4.0, Shots
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Wei Liu, 0.5, Shots
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Oscar, 2.5, Shots
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Jürgen Locadia, 1.5, Shots
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Matias Vargas, 2.0, Shots
