PrizePicks, TENNIS LIVE, Wed, Jul 12 8:00 AM, Aryna Sabalenka, 9.5, 1st Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 8:30 AM, Elena Rybakina, 9.5, 1st Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 9:30 AM, Carlos Alcaraz, 9.5, 1st Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 10:00 AM, Daniil Medvedev, 10.0, 1st Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 8:00 AM, Aryna Sabalenka, 9.5, 2nd Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 8:30 AM, Elena Rybakina, 9.5, 2nd Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 9:30 AM, Carlos Alcaraz, 9.5, 2nd Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 10:00 AM, Daniil Medvedev, 10.0, 2nd Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 8:00 AM, Aryna Sabalenka, 9.5, 3rd Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 8:30 AM, Elena Rybakina, 9.5, 3rd Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 9:30 AM, Carlos Alcaraz, 9.5, 3rd Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 10:00 AM, Daniil Medvedev, 10.0, 3rd Set - Total Games
PrizePicks, TENNIS LIVE, Wed, Jul 12 8:00 AM, Aryna Sabalenka, 2.5, 1st Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 8:30 AM, Elena Rybakina, 2.5, 1st Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 9:30 AM, Carlos Alcaraz, 2.5, 1st Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 10:00 AM, Daniil Medvedev, 3.0, 1st Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 10:00 AM, Christopher Eubanks, 2.5, 1st Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 8:00 AM, Aryna Sabalenka, 2.5, 2nd Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 8:30 AM, Elena Rybakina, 2.5, 2nd Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 9:30 AM, Carlos Alcaraz, 2.5, 2nd Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 10:00 AM, Daniil Medvedev, 3.0, 2nd Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 10:00 AM, Christopher Eubanks, 2.5, 2nd Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 9:30 AM, Carlos Alcaraz, 2.5, 3rd Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 10:00 AM, Daniil Medvedev, 3.0, 3rd Set - Aces
PrizePicks, TENNIS LIVE, Wed, Jul 12 10:00 AM, Christopher Eubanks, 2.5, 3rd Set - Aces
