BettingSite, Date, PlayerName, Score, ScoreType
PrizePicks, Mon, Jul 31 5:00 AM, Daniel Elahi Galan, 22.5, Total Games
PrizePicks, Mon, Jul 31 5:00 AM, Luca Van Assche, 22.5, Total Games
PrizePicks, Mon, Jul 31 6:15 AM, Filip Misolic, 22.5, Total Games
PrizePicks, Mon, Jul 31 6:15 AM, Juan Pablo Varillas, 22.5, Total Games
PrizePicks, Mon, Jul 31 7:30 AM, Sebastian Baez, 22.0, Total Games
PrizePicks, Mon, Jul 31 9:00 AM, Roberto Carballes Baena, 22.5, Total Games
PrizePicks, Mon, Jul 31 12:00 PM, Emil Ruusuvuori, 21.5, Total Games
PrizePicks, Mon, Jul 31 12:00 PM, Juncheng Shang, 22.0, Total Games
PrizePicks, Mon, Jul 31 1:30 PM, Michael Mmoh, 22.0, Total Games
PrizePicks, Mon, Jul 31 1:30 PM, Maxime Cressy, 23.0, Total Games
PrizePicks, Mon, Jul 31 1:30 PM, Yibing Wu, 22.5, Total Games
PrizePicks, Mon, Jul 31 3:00 PM, Aslan Karatsev, 19.5, Total Games
PrizePicks, Mon, Jul 31 4:00 PM, Mackenzie McDonald, 22.0, Total Games
PrizePicks, Mon, Jul 31 4:30 PM, Marcos Giron, 22.5, Total Games
PrizePicks, Mon, Jul 31 4:30 PM, Liam Broady, 22.0, Total Games
PrizePicks, Mon, Jul 31 6:00 PM, Gregoire Barrere, 22.5, Total Games
PrizePicks, Mon, Jul 31 8:30 PM, Gael Monfils, 21.5, Total Games
PrizePicks, Mon, Jul 31 12:00 PM, Belinda Bencic, 21.5, Total Games
PrizePicks, Mon, Jul 31 12:00 PM, Ludmilla Samsonova, 22.0, Total Games
PrizePicks, Mon, Jul 31 1:30 PM, Bianca Andreescu, 22.0, Total Games
PrizePicks, Mon, Jul 31 6:00 PM, Daria Kasatkina, 20.5, Total Games
PrizePicks, Mon, Jul 31 7:00 PM, Elina Svitolina, 21.5, Total Games
PrizePicks, Mon, Jul 31 5:00 AM, Viktoriya Tomova, 21.5, Total Games
PrizePicks, Mon, Jul 31 5:00 AM, Dayana Yastremska, 21.0, Total Games
PrizePicks, Mon, Jul 31 6:15 AM, Nao Hibino, 21.5, Total Games
PrizePicks, Mon, Jul 31 6:15 AM, Viktoria Hrunčáková, 22.0, Total Games
PrizePicks, Mon, Jul 31 8:00 AM, Marie Bouzkova, 19.0, Total Games
PrizePicks, Mon, Jul 31 9:30 AM, Alizé Cornet, 19.5, Total Games
PrizePicks, Mon, Jul 31 5:00 AM, Daniel Elahi Galan, 4.5, Aces
PrizePicks, Mon, Jul 31 5:00 AM, Marco Cecchinato, 3.0, Aces
PrizePicks, Mon, Jul 31 5:00 AM, Luca Van Assche, 2.0, Aces
PrizePicks, Mon, Jul 31 5:00 AM, Alex Molcan, 2.5, Aces
PrizePicks, Mon, Jul 31 6:15 AM, Filip Misolic, 3.0, Aces
PrizePicks, Mon, Jul 31 6:15 AM, Guido Andreozzi, 3.5, Aces
PrizePicks, Mon, Jul 31 6:15 AM, Juan Pablo Varillas, 4.0, Aces
PrizePicks, Mon, Jul 31 6:15 AM, Albert Ramos-Vinolas, 2.0, Aces
PrizePicks, Mon, Jul 31 7:30 AM, Sebastian Baez, 1.5, Aces
PrizePicks, Mon, Jul 31 7:30 AM, Hamad Medjedovic, 6.0, Aces
PrizePicks, Mon, Jul 31 9:00 AM, Roberto Carballes Baena, 1.5, Aces
