PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Kyle Busch, 39.5, NASCAR Points
PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Christopher Bell, 36.5, NASCAR Points
PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Zane Smith, 36.5, NASCAR Points
PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Corey Heim, 36.5, NASCAR Points
PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Austin Hill, 35.5, NASCAR Points
PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Carson Hocevar, 34.5, NASCAR Points
PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Ross Chastain	, 33.5, NASCAR Points
PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Ty Majeski, 33.5, NASCAR Points
PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Christian Eckes, 32.5, NASCAR Points
PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Nick Sanchez, 31.5, NASCAR Points
PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Grant Enfinger, 31.5, NASCAR Points
PrizePicks, TRUCKS, Sat, Jul 22 12:00 PM, Ben Rhodes, 31.5, NASCAR Points
