PrizePicks, World Cup, Thu, Jul 20 3:00 AM, Ada Hegerberg, 3.0, Goals
PrizePicks, World Cup, Thu, Jul 20 6:00 AM, Sam Kerr, 3.5, Goals
PrizePicks, World Cup, Thu, Jul 20 6:00 AM, Christine Sinclair, 1.0, Goals
PrizePicks, World Cup, Fri, Jul 21 3:30 AM, Alexia Putellas, 2.5, Goals
PrizePicks, World Cup, Fri, Jul 21 3:30 AM, Esther Gonzalez, 3.5, Goals
PrizePicks, World Cup, Fri, Jul 21 9:00 PM, Alex Morgan, 4.5, Goals
PrizePicks, World Cup, Fri, Jul 21 9:00 PM, Sophia Smith, 4.0, Goals
PrizePicks, World Cup, Sat, Jul 22 3:00 AM, Barbra Banda, 2.0, Goals
PrizePicks, World Cup, Sat, Jul 22 5:30 AM, Alessia Russo, 2.5, Goals
PrizePicks, World Cup, Sat, Jul 22 5:30 AM, Lauren Hemp, 1.5, Goals
PrizePicks, World Cup, Sun, Jul 23 1:00 AM, Stina Blackstenius, 2.0, Goals
PrizePicks, World Cup, Sun, Jul 23 6:00 AM, Eugenie Le Sommer, 3.0, Goals
