Underdog Fantasy, Justin Herbert, 30.5 Passing TDs 2.5 Rushing TDs 4365.5 Passing Yards 199.5 Rushing Yards
Underdog Fantasy, Joe Burrow, 33.5 Passing TDs 3.0 Rushing TDs 4425.5 Passing Yards 199.5 Rushing Yards
Underdog Fantasy, Jalen Hurts, 23.5 Passing TDs 11.5 Rushing TDs 3550.5 Passing Yards 725.5 Rushing Yards
Underdog Fantasy, Kirk Cousins, 29.5 Passing TDs 4350.5 Passing Yards
Underdog Fantasy, Aaron Rodgers, 1.5 Rushing TDs 28.5 Passing TDs 4000.5 Passing Yards 8.5 Interceptions
Underdog Fantasy, Russell Wilson, 2.5 Rushing TDs 24.5 Passing TDs 3800.5 Passing Yards 225.5 Rushing Yards
Underdog Fantasy, Mac Jones, 17.5 Passing TDs 0.5 Rushing TDs 3250.5 Passing Yards
Underdog Fantasy, Daniel Jones, 17.5 Passing TDs 3250.5 Passing Yards 575.5 Rushing Yards
Underdog Fantasy, Trevor Lawrence, 26.5 Passing TDs 3.0 Rushing TDs 3975.5 Passing Yards 285.5 Rushing Yards
Underdog Fantasy, Derek Carr, 23.5 Passing TDs 3865.5 Passing Yards
Underdog Fantasy, C.J. Stroud, 20.0 Passing TDs 3400.5 Passing Yards
Underdog Fantasy, Jared Goff, 25.5 Passing TDs 4000.5 Passing Yards
Underdog Fantasy, Jordan Love, 21.5 Passing TDs 3215.5 Passing Yards 13.5 Interceptions
Underdog Fantasy, Justin Fields, 6.5 Rushing TDs 20.0 Passing TDs 2950.5 Passing Yards 875.5 Rushing Yards
Underdog Fantasy, Deshaun Watson, 26.5 Passing TDs 3.0 Rushing TDs 399.5 Rushing Yards 3625.5 Passing Yards
Underdog Fantasy, Dak Prescott, 26.5 Passing TDs 4025.5 Passing Yards
Underdog Fantasy, Patrick Mahomes, 37.5 Passing TDs 4750.5 Passing Yards 299.5 Rushing Yards
Underdog Fantasy, Josh Allen, 7.0 Rushing TDs 32.5 Passing TDs 625.5 Rushing Yards 4300.5 Passing Yards
Underdog Fantasy, Anthony Richardson, 16.0 Passing TDs 2725.5 Passing Yards
Underdog Fantasy, Desmond Ridder, 15.5 Passing TDs 2600.5 Passing Yards
Underdog Fantasy, Bryce Young, 22.5 Passing TDs 3446.5 Passing Yards
Underdog Fantasy, Kenny Pickett, 19.5 Passing TDs 3350.5 Passing Yards
Underdog Fantasy, Lamar Jackson, 24.0 Passing TDs 825.5 Rushing Yards 3500.5 Passing Yards
Underdog Fantasy, Tua Tagovailoa, 25.5 Passing TDs 3800.5 Passing Yards
Underdog Fantasy, Geno Smith, 27.5 Passing TDs 3800.5 Passing Yards
Underdog Fantasy, Dameon Pierce, 5.5 Rushing TDs 900.5 Rushing Yards
Underdog Fantasy, David Montgomery, 6.5 Rushing TDs 775.5 Rushing Yards
Underdog Fantasy, Joe Mixon, 7.0 Rushing TDs 1.5 Receiving TDs 800.5 Rushing Yards
Underdog Fantasy, Miles Sanders, 0.5 Receiving TDs 6.0 Rushing TDs 925.5 Rushing Yards
Underdog Fantasy, Kenneth Walker, 0.5 Receiving TDs 7.5 Rushing TDs 1000.5 Rushing Yards
