BettingSite, Team, Date, Player, Stats
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM, Luciano Acosta, 2.0 Shots Attempted
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM, Álvaro Barreal, 1.5 Shots Attempted
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM, Roman Celentano, 3.0 Saves
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM, Santiago Arias, 1.5 Tackles
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM, Sérgio Santos, 2.0 Shots Attempted
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM, Nick Hagglund, 3.5 Clearances
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM, Elias Manoel, 2.0 Shots Attempted
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM, Obinna Nwobodo, 3.0 Tackles
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM, Carlos Coronel, 2.5 Saves
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM,   Luquinhas, 1.5 Shots Attempted
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM, Sean Nealis, 3.5 Clearances
Underdog Fantasy, Cincinnati @ NY Red BullsWed 7:30PM, Cameron Harper, 4.0 Crosses 1.5 Tackles
Underdog Fantasy, Atlanta United @ New EnglandWed 7:30PM, Brad Guzan, 3.5 Saves
Underdog Fantasy, Atlanta United @ New EnglandWed 7:30PM, Brooks Lennon, 6.0 Crosses 0.5 Interceptions
Underdog Fantasy, Atlanta United @ New EnglandWed 7:30PM, Amar Sejdic, 0.5 Shots Attempted
Underdog Fantasy, Atlanta United @ New EnglandWed 7:30PM, Santiago Sosa, 1.0 Shots Attempted
Underdog Fantasy, Atlanta United @ New EnglandWed 7:30PM, Thiago Almada, 2.5 Shots Attempted
Underdog Fantasy, Atlanta United @ New EnglandWed 7:30PM, Caleb Wiley, 1.5 Tackles
Underdog Fantasy, Atlanta United @ New EnglandWed 7:30PM, Luis Abram, 3.5 Clearances
Underdog Fantasy, Atlanta United @ New EnglandWed 7:30PM, Djordje Petrovic, 3.0 Saves
